"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Kristin Lewicki","F","Sr","29","30","33","63","2.1724","1","2","8","12","0","0","2016-2017","adrian"
"Kaylyn Schroka","F","Sr","29","29","30","59","2.0345","9","18","5","9","2","0","2016-2017","adrian"
"Sarah Shureb","F","Sr","29","23","34","57","1.9655","10","20","4","6","0","0","2016-2017","adrian"
"Brooke Lupi","F","So","28","20","21","41","1.4643","22","47","2","3","2","1","2016-2017","adrian"
"Sydney Smith","D","Sr","29","11","26","37","1.2759","9","18","1","7","0","0","2016-2017","adrian"
"Kelly O'Sullivan","D","Fr","29","11","25","36","1.2414","2","4","2","4","0","0","2016-2017","adrian"
"Lexie Tzafaroglou","D","Sr","29","8","17","25","0.8621","5","10","0","5","0","0","2016-2017","adrian"
"Kristi Zink","D","Jr","28","2","17","19","0.6786","12","24","0","1","0","0","2016-2017","adrian"
"Rose Krasofsky","F","Jr","28","9","5","14","0.5000","8","16","1","1","1","0","2016-2017","adrian"
"Maggie Mitter","F","Fr","29","3","9","12","0.4138","6","12","0","0","0","0","2016-2017","adrian"
"Hannah Dalrymple","F","So","29","3","7","10","0.3448","6","12","0","0","1","0","2016-2017","adrian"
"Courtney Tyll","F","Sr","27","3","5","8","0.2963","3","6","2","0","0","0","2016-2017","adrian"
"Bailey Robertson","F","Sr","22","3","4","7","0.3182","4","8","1","0","0","0","2016-2017","adrian"
"Kortney Diaz","F","So","25","1","6","7","0.2800","2","4","0","0","0","0","2016-2017","adrian"
"Taylor Henthorne","F","Fr","15","3","2","5","0.3333","1","2","0","0","0","1","2016-2017","adrian"
"Olivia Fox","F","Jr","20","0","5","5","0.2500","12","24","0","0","0","0","2016-2017","adrian"
"Emily Duncan","F","Sr","5","1","3","4","0.8000","0","0","1","0","0","0","2016-2017","adrian"
"Rylee Bates","D","Fr","21","1","3","4","0.1905","14","28","0","0","0","0","2016-2017","adrian"
"Anna Shepherd","D","Fr","12","0","3","3","0.2500","2","4","0","0","0","0","2016-2017","adrian"
"Shelly Czarnowczan","D","So","24","1","1","2","0.0833","6","12","0","0","0","0","2016-2017","adrian"
"Olivia Ziemba","F","So","4","1","0","1","0.2500","1","2","0","0","0","0","2016-2017","adrian"
"Leigh Farquhar","F","So","8","0","1","1","0.1250","4","8","0","0","0","0","2016-2017","adrian"
"Brianna Buchanan","F","Fr","8","0","1","1","0.1250","5","10","0","0","0","0","2016-2017","adrian"
"Kayla Murray","F","So","6","0","0","0","0.0000","0","0","0","0","0","0","2016-2017","adrian"
"Lexi Grunden","D","Fr","9","0","0","0","0.0000","2","4","0","0","0","0","2016-2017","adrian"
"Brooke Gibson","G","Sr","19","0","0","0","0.0000","0","0","0","0","0","0","2016-2017","adrian"
"Jade Walsh","G","Sr","17","0","0","0","0.0000","2","4","0","0","0","0","2016-2017","adrian"
"Alex Toupal","F","Jr","27","19","11","30","1.1111","6","20","2","5","2","1","2016-2017","amherst"
"Katie Savage","F","So","27","8","12","20","0.7407","10","20","2","3","1","1","2016-2017","amherst"
"Caitlyn Ryan","D","Sr","27","1","13","14","0.5185","6","12","0","0","0","0","2016-2017","amherst"
"Jocelyn Hunyadi","F","So","27","8","4","12","0.4444","7","14","2","3","0","0","2016-2017","amherst"
"Katelyn Pantera","F","So","27","6","5","11","0.4074","7","14","2","1","0","0","2016-2017","amherst"
"Sara Culhane","F","Sr","26","5","6","11","0.4231","6","12","1","1","0","0","2016-2017","amherst"
"Anne Malloy","D","Fr","22","1","10","11","0.5000","4","8","1","0","0","0","2016-2017","amherst"
"Emma Griese","F","Jr","27","2","7","9","0.3333","7","14","1","1","0","0","2016-2017","amherst"
"Miriam Eickhoff","D/F","So","26","3","5","8","0.3077","6","12","3","2","0","0","2016-2017","amherst"
