"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Hannah McGowan","F","Jr","28","14","12","26","0.9286","13","26","1","6","0","0","2011-2012","adrian"
"Olivia Rork","F/RW","Sr","28","15","8","23","0.8214","24","48","3","11","0","0","2011-2012","adrian"
"Danielle Smith","LW","So","26","7","16","23","0.8846","25","58","2","4","0","0","2011-2012","adrian"
"Kelly Salis","D","Sr","27","8","14","22","0.8148","11","22","3","5","0","1","2011-2012","adrian"
"Nina Laurie","F","So","28","9","11","20","0.7143","7","14","2","4","0","1","2011-2012","adrian"
"Ashley Gniewek","F","Jr","24","6","10","16","0.6667","1","2","2","3","0","0","2011-2012","adrian"
"Sarah Connelly","F","So","28","7","7","14","0.5000","14","28","0","2","1","0","2011-2012","adrian"
"Courtney Millar","D","Fr","25","5","5","10","0.4000","19","52","0","0","0","0","2011-2012","adrian"
"Kristin Maton","D","Jr","27","3","6","9","0.3333","12","24","0","2","0","0","2011-2012","adrian"
"Brooke Zaleski","F","Sr","21","2","4","6","0.2857","9","26","0","1","0","0","2011-2012","adrian"
"Lauren Turner","F","So","24","2","4","6","0.2500","11","22","2","1","1","0","2011-2012","adrian"
"Rebecca Hampton","D","So","22","1","3","4","0.1818","3","6","0","1","0","0","2011-2012","adrian"
"Alix Vallee","D","So","28","0","4","4","0.1429","15","30","0","0","0","0","2011-2012","adrian"
"Jenna Corbin","F/C","Sr","24","2","1","3","0.1250","7","14","0","0","0","0","2011-2012","adrian"
"Amanda Gay","D","So","27","1","2","3","0.1111","3","6","0","0","0","0","2011-2012","adrian"
"Lauren Zachwieja","F","Fr","25","1","2","3","0.1200","2","4","0","0","0","0","2011-2012","adrian"
"Ashley Chinn","F","Jr","20","1","1","2","0.1000","0","0","0","0","0","0","2011-2012","adrian"
"Brittany Zeches","G","Sr","19","0","2","2","0.1053","0","0","0","0","0","0","2011-2012","adrian"
"Katie Tong","F","Fr","9","1","0","1","0.1111","2","4","1","0","0","0","2011-2012","adrian"
"Shana Davis","LW","Sr","20","0","1","1","0.0500","2","4","0","0","0","0","2011-2012","adrian"
"Amanda Antos","D","Fr","13","0","0","0","0.0000","1","2","0","0","0","0","2011-2012","adrian"
"Emily Engel","G","Sr","1","0","0","0","0.0000","0","0","0","0","0","0","2011-2012","adrian"
"Emily Michelin","G","So","14","0","0","0","0.0000","0","0","0","0","0","0","2011-2012","adrian"
"Cara Harm","F","Fr","4","0","0","0","0.0000","0","0","0","0","0","0","2011-2012","adrian"
"Kendra Uliana","F","Jr","7","0","0","0","0.0000","1","2","0","0","0","0","2011-2012","adrian"
"Becca Napoli","F","Fr","5","0","0","0","0.0000","0","0","0","0","0","0","2011-2012","adrian"
"Hannah Griffin","F","Jr","1","0","0","0","0.0000","0","0","0","0","0","0","2011-2012","adrian"
"Ellen Swiontkowski","F","Sr","28","11","15","26","0.9286","6","12","3","3","1","1","2011-2012","amherst"
"Geneva Lloyd","D","Jr","27","9","15","24","0.8889","10","20","1","7","0","0","2011-2012","amherst"
"Josie Fisher","F","Sr","28","8","15","23","0.8214","2","4","2","0","0","0","2011-2012","amherst"
"Tori Salmon","F","Fr","28","6","11","17","0.6071","2","4","3","1","0","0","2011-2012","amherst"
"Ashley Salerno","D","So","28","2","14","16","0.5714","7","14","1","2","0","0","2011-2012","amherst"
"Emily Vitale","F","Sr","28","10","5","15","0.5357","8","16","1","2","0","1","2011-2012","amherst"
"Erin Babineau","F","Sr","28","5","9","14","0.5000","5","10","1","1","0","0","2011-2012","amherst"
"Melissa Martin","D","Fr","28","6","6","12","0.4286","4","8","4","2","0","0","2011-2012","amherst"
"Emily Flom","F","Fr","27","7","3","10","0.3704","5","10","1","1","0","0","2011-2012","amherst"
"Barrett McBride","F","So","28","5","5","10","0.3571","10","31","2","0","0","0","2011-2012","amherst"
"Stephanie Clegg","D","Sr","28","4","5","9","0.3214","14","28","0","4","0","0","2011-2012","amherst"
