"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Danielle Williams","F","Sr","24","9","10","19","0.7917","0","2","0","0","2002-2003","amherst"
"Alison White","F","Jr","24","5","4","9","0.3750","0","0","0","0","2002-2003","amherst"
"Tory Serues","F","Jr","24","5","1","6","0.2500","0","0","0","0","2002-2003","amherst"
"Renee Sisti","F","Fr","12","4","2","6","0.5000","1","1","0","0","2002-2003","amherst"
"Leah Kaplan","F","Fr","24","5","0","5","0.2083","1","0","0","0","2002-2003","amherst"
"Sarah Mason","D","So","24","1","4","5","0.2083","0","0","0","0","2002-2003","amherst"
"Alicia Pichard","D","So","24","2","2","4","0.1667","0","0","0","0","2002-2003","amherst"
"Jess Matthews","F","Fr","24","2","1","3","0.1250","0","0","0","0","2002-2003","amherst"
"Bethany Croy","D","Fr","24","1","2","3","0.1250","1","0","0","0","2002-2003","amherst"
"Ellie Roe","F","So","23","1","2","3","0.1304","0","0","0","0","2002-2003","amherst"
"Annie Grabowski","F","So","19","0","3","3","0.1579","0","0","0","0","2002-2003","amherst"
"Amanda Mattei","D","Fr","24","0","3","3","0.1250","0","0","0","0","2002-2003","amherst"
"Elissa Landes","F/D","Jr","19","1","0","1","0.0526","0","0","0","0","2002-2003","amherst"
"Lauren Caldwell","D","So","15","0","0","0","0.0000","0","0","0","0","2002-2003","amherst"
"Heidi Alexander","G","Sr","24","0","0","0","0.0000","0","0","0","0","2002-2003","amherst"
"Amanda Muller","D","Jr","20","0","0","0","0.0000","0","0","0","0","2002-2003","amherst"
"K.C. Cosentino","G","So","1","0","0","0","0.0000","0","0","0","0","2002-2003","amherst"
"Katie Potter","F","Jr","17","0","0","0","0.0000","0","0","0","0","2002-2003","amherst"
"Lauren Chezick","F","So","26","25","32","57","2.1923","4","1","2","0","2002-2003","augsburg"
"Annie Annunziato","F","Jr","26","23","31","54","2.0769","3","8","4","0","2002-2003","augsburg"
"Carrie Velenchenko","F","So","25","8","17","25","1.0000","2","0","0","1","2002-2003","augsburg"
"Melynda Kleewein","D","So","26","2","20","22","0.8462","0","1","0","0","2002-2003","augsburg"
"Genevieve Allegrezza","F","Jr","26","11","6","17","0.6538","0","4","0","0","2002-2003","augsburg"
"Corrie Krzyska","F","So","26","3","4","7","0.2692","0","1","0","0","2002-2003","augsburg"
"Hannah Dietrich","F","So","22","3","4","7","0.3182","0","0","0","0","2002-2003","augsburg"
"Laura Prasek","D","So","25","3","4","7","0.2800","2","1","0","0","2002-2003","augsburg"
"Anna Roesler","F","Fr","26","3","2","5","0.1923","0","1","0","0","2002-2003","augsburg"
"Jana Ford","F","So","26","0","5","5","0.1923","0","0","0","0","2002-2003","augsburg"
"Angela Bergeson","F","Fr","19","2","1","3","0.1579","1","0","0","0","2002-2003","augsburg"
"Christina Hughes","F","Jr","26","2","1","3","0.1154","0","0","0","0","2002-2003","augsburg"
"Laura Hoffman","D","Jr","25","1","2","3","0.1200","0","1","0","0","2002-2003","augsburg"
"Erika Horner","D","So","24","0","3","3","0.1250","0","0","0","0","2002-2003","augsburg"
"Kristen Opalinski","G","Sr","11","1","0","1","0.0909","0","0","0","0","2002-2003","augsburg"
"Calla Lundquist","D","Fr","26","0","1","1","0.0385","0","0","0","0","2002-2003","augsburg"
"Laura Hind","G","So","4","0","0","0","0.0000","0","0","0","0","2002-2003","augsburg"
"Ashley Owens","F","So","25","0","0","0","0.0000","0","0","0","0","2002-2003","augsburg"
"Kristin Johnson","G","So","14","0","0","0","0.0000","0","0","0","0","2002-2003","augsburg"
"Jessica Bowman","F","Fr","13","0","0","0","0.0000","0","0","0","0","2002-2003","augsburg"
"Catherine Seibert","F","So","25","0","0","0","0.0000","0","0","0","0","2002-2003","augsburg"
"Katie Fedoryk","G","Jr","13","0","0","0","0.0000","0","0","0","0","2002-2003","augsburg"
"Amber Fryklund","C","Sr","33","16","21","37","1.1212","3","4","0","0","2002-2003","bemidji-state"
"Lill Raynard","F","Sr","33","11","17","28","0.8485","1","5","1","0","2002-2003","bemidji-state"
"Lisa Peters","D","Sr","32","3","15","18","0.5625","0","1","0","0","2002-2003","bemidji-state"
"Caesare Stimson","F","Jr","31","7","8","15","0.4839","2","1","0","0","2002-2003","bemidji-state"
"Alicia Kinsman","C","Sr","28","5","6","11","0.3929","0","1","0","0","2002-2003","bemidji-state"
"Guylaine Haché","F","Jr","33","6","4","10","0.3030","2","3","0","0","2002-2003","bemidji-state"
"Kerri McEwen","W","Sr","33","5","4","9","0.2727","0","2","0","0","2002-2003","bemidji-state"
"Betsy Hegland","F","Sr","33","5","3","8","0.2424","0","0","0","0","2002-2003","bemidji-state"
"Katie Ward","F","So","25","5","3","8","0.3200","0","0","0","0","2002-2003","bemidji-state"
"Sarah Zuelke","D","Fr","32","2","4","6","0.1875","0","1","0","0","2002-2003","bemidji-state"
"Carly Napier","F","Fr","32","3","2","5","0.1563","0","0","0","0","2002-2003","bemidji-state"
"Jenny Schnickel","D","So","33","1","4","5","0.1515","0","0","0","0","2002-2003","bemidji-state"
"Mandy Bambrough","D","Fr","33","1","4","5","0.1515","0","0","0","0","2002-2003","bemidji-state"
"Nicky Kluck","C","So","32","2","2","4","0.1250","0","0","0","0","2002-2003","bemidji-state"
"Cassi Petsch","F/D","Fr","28","2","0","2","0.0714","1","0","0","0","2002-2003","bemidji-state"
"Emily Curcuruto","D","Fr","33","1","1","2","0.0606","0","1","0","0","2002-2003","bemidji-state"
"Andrea Carlson","F","So","25","0","1","1","0.0400","0","0","0","0","2002-2003","bemidji-state"
"Melissa Schaeffer","F/D","Fr","21","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Jenny Hocum","F","So","7","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Amy Shepler","F","Sr","16","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Bre Dedrickson","G","Sr","11","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Ashley Medori","D","Fr","19","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Anik Coté","G","Jr","19","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Crystal Sorenson","D","Fr","2","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Jill Luebke","G","Fr","13","0","0","0","0.0000","0","0","0","0","2002-2003","bemidji-state"
"Alyson Sundberg","F","Sr","23","18","7","25","1.0870","1","3","1","0","2002-2003","bethel"
"Heidi Govednik","F/D","Fr","23","11","4","15","0.6522","0","4","1","0","2002-2003","bethel"
"Stephanie Williams","F","So","22","6","3","9","0.4091","0","0","0","0","2002-2003","bethel"
"Kim Framsted","F","Sr","23","2","6","8","0.3478","1","1","0","0","2002-2003","bethel"
"Elicia Shepard","F","Fr","18","4","3","7","0.3889","1","1","0","0","2002-2003","bethel"
"Jessie Zaugg","D","Sr","23","2","5","7","0.3043","0","0","0","0","2002-2003","bethel"
"Kim Toter","F","So","15","3","2","5","0.3333","0","0","0","0","2002-2003","bethel"
"Marissa Cwick","D","So","23","0","5","5","0.2174","0","0","0","0","2002-2003","bethel"
"Brooke Clarke","F","Fr","18","2","2","4","0.2222","0","0","0","0","2002-2003","bethel"
"Theresa Cunningham","D","Jr","23","1","3","4","0.1739","0","0","0","0","2002-2003","bethel"
"Lisa Kinney","","","3","1","2","3","1.0000","0","0","0","0","2002-2003","bethel"
"Jes Nelson","F/D","Fr","23","0","3","3","0.1304","0","0","0","0","2002-2003","bethel"
"Anne Gilbertson","F","Fr","5","1","1","2","0.4000","1","0","0","0","2002-2003","bethel"
"Michelle Dexter","F","So","18","0","1","1","0.0556","0","0","0","0","2002-2003","bethel"
"Kim Myers","G","Sr","6","0","0","0","0.0000","0","0","0","0","2002-2003","bethel"
"Kelly Fillmore","G","So","21","0","0","0","0.0000","0","0","0","0","2002-2003","bethel"
"Katie Lida","F","","2","0","0","0","0.0000","0","0","0","0","2002-2003","bethel"
"Alaina Clark","F","Jr","30","12","9","21","0.7000","3","1","0","0","2002-2003","boston-college"
"Jaclyn Kryzak","F","Sr","32","10","9","19","0.5938","1","4","0","0","2002-2003","boston-college"
"Kerri Sanders","F","So","32","8","9","17","0.5313","2","1","0","0","2002-2003","boston-college"
"Jill McInnis","D","Fr","28","1","15","16","0.5714","1","1","0","0","2002-2003","boston-college"
"Lindsey Bazzone","F","So","32","8","5","13","0.4063","1","3","0","0","2002-2003","boston-college"
"Kristin Blundo","F","Fr","31","4","9","13","0.4194","1","1","0","0","2002-2003","boston-college"
"Thia Connolly","F","Sr","29","3","10","13","0.4483","2","1","0","0","2002-2003","boston-college"
"Heidi Seidewand","F","So","32","7","5","12","0.3750","0","0","0","0","2002-2003","boston-college"
"Genevieve Richardson","D","Sr","31","4","8","12","0.3871","0","2","0","0","2002-2003","boston-college"
"Jessica Tychsen","D","Jr","30","1","7","8","0.2667","0","0","0","0","2002-2003","boston-college"
"Renee Taylor","F","Jr","19","4","3","7","0.3684","0","1","0","0","2002-2003","boston-college"
"Sarah Courtney","F","Fr","32","4","1","5","0.1563","1","0","0","0","2002-2003","boston-college"
"Kaitlin McGrath","F","Jr","24","1","4","5","0.2083","0","0","0","0","2002-2003","boston-college"
"Natalie Hummel","F","Fr","32","1","4","5","0.1563","0","0","0","0","2002-2003","boston-college"
"Sarah Engwall","D","Sr","32","0","3","3","0.0938","0","0","0","0","2002-2003","boston-college"
"Sarah Carlson","D","So","31","0","3","3","0.0968","0","0","0","0","2002-2003","boston-college"
"Megan Scully","F","Fr","29","1","1","2","0.0690","0","0","0","0","2002-2003","boston-college"
"Kathryn Chubrilo","F","So","1","1","1","2","2.0000","0","0","0","0","2002-2003","boston-college"
