"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Alyssa Chwick","D","So","26","0","5","5","0.1923","7","14","0","0","0","0","2007-2008","amherst"
"Katharine Kelly","D","Sr","28","1","1","2","0.0714","0","0","0","0","0","0","2007-2008","amherst"
"Natanya Khazzam","F","Sr","6","0","2","2","0.3333","0","0","0","0","0","0","2007-2008","amherst"
"Krystyn Elek","G","So","20","0","0","0","0.0000","1","2","0","0","0","0","2007-2008","amherst"
"Caroline Hu","G","Fr","8","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","amherst"
"Annie Bauerfeld","F","Fr","36","5","5","10","0.2778","10","31","0","2","0","0","2007-2008","bemidji-state"
"Erin Cody","F","Fr","35","4","6","10","0.2857","14","28","1","1","1","1","2007-2008","bemidji-state"
"Julie Rising","F","Fr","36","5","3","8","0.2222","14","28","0","1","1","0","2007-2008","bemidji-state"
"Tara Hiscock","F","Sr","36","3","5","8","0.2222","7","14","1","1","1","0","2007-2008","bemidji-state"
"Ashley Leopold","D","Jr","34","1","6","7","0.2059","13","26","0","1","0","0","2007-2008","bemidji-state"
"Lisa Kissick","F","Jr","33","5","1","6","0.1818","8","16","1","0","1","0","2007-2008","bemidji-state"
"Jessica Pullar","F","Sr","35","2","4","6","0.1714","4","8","0","0","0","0","2007-2008","bemidji-state"
"Eva Schwaerzler","F","Fr","34","2","3","5","0.1471","11","22","0","1","0","0","2007-2008","bemidji-state"
