"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Kristin Lewicki","F","So","26","12","25","37","1.4231","0","0","3","5","3","0","2014-2015","adrian"
"Kelsey Kusch","F","Sr","25","20","16","36","1.4400","2","4","4","9","0","0","2014-2015","adrian"
"Logan Taylor","F","Jr","26","15","16","31","1.1923","18","36","5","6","0","1","2014-2015","adrian"
"Kaylyn Schroka","F","So","26","14","14","28","1.0769","5","10","1","4","1","0","2014-2015","adrian"
"Devyn Fitzhenry","F","Jr","23","8","13","21","0.9130","5","10","2","2","0","0","2014-2015","adrian"
"Hannah McGowan","F","Sr","23","9","11","20","0.8696","10","31","3","1","0","0","2014-2015","adrian"
"Michelle Jones","F","Jr","26","6","13","19","0.7308","16","32","1","3","1","1","2014-2015","adrian"
"Sydney Smith","D","So","26","2","14","16","0.6154","11","22","0","2","0","0","2014-2015","adrian"
"Sarah Shureb","F","So","24","3","10","13","0.5417","3","6","0","1","0","0","2014-2015","adrian"
"Courtney Millar","D","Sr","26","3","10","13","0.5000","23","46","0","0","0","1","2014-2015","adrian"
"Lexie Tzafaroglou","D","So","26","1","11","12","0.4615","6","12","0","1","0","0","2014-2015","adrian"
"Jessica Killingback","F","Fr","4","3","4","7","1.7500","3","6","0","0","0","0","2014-2015","adrian"
"Audrey Noles","D","Jr","26","1","3","4","0.1538","9","18","0","1","0","0","2014-2015","adrian"
"Kristi Zink","D","Fr","26","0","4","4","0.1538","8","16","0","0","0","0","2014-2015","adrian"
"Bailey Robertson","F","So","21","0","4","4","0.1905","0","0","0","0","0","0","2014-2015","adrian"
"Rose Krasofsky","F","Fr","24","3","0","3","0.1250","5","10","1","0","0","0","2014-2015","adrian"
"Abby Kibler","F","Jr","16","1","2","3","0.1875","3","6","0","0","0","0","2014-2015","adrian"
"Sydney Dobbin","D","So","9","0","2","2","0.2222","4","8","0","0","0","0","2014-2015","adrian"
"Courtney Tyll","F","So","23","1","0","1","0.0435","0","0","0","0","0","0","2014-2015","adrian"
"Kelsey Dupuis","D","Sr","21","0","1","1","0.0476","1","2","0","0","0","0","2014-2015","adrian"
"Jade Walsh","G","So","26","0","1","1","0.0385","3","6","0","0","0","0","2014-2015","adrian"
"McKenzie Carey","F","So","4","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","adrian"
"Emily Duncan","F","So","14","0","0","0","0.0000","1","2","0","0","0","0","2014-2015","adrian"
"Amanda Anderson","D","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","adrian"
"Brooke Gibson","G","So","4","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","adrian"
"Claire Cripps","F","Jr","25","5","12","17","0.6800","5","10","0","1","0","0","2014-2015","augsburg"
"Callen Naasz","F","So","25","9","7","16","0.6400","8","16","4","2","1","0","2014-2015","augsburg"
"Ashley Kloncz","F","So","25","5","11","16","0.6400","3","6","0","1","0","0","2014-2015","augsburg"
"Kayla Fuechtmann","F","Jr","25","11","4","15","0.6000","9","18","3","1","0","0","2014-2015","augsburg"
"Rachel Hennessy","F","Sr","25","9","6","15","0.6000","6","12","1","3","0","0","2014-2015","augsburg"
"Danielle Heitkamp","D","So","25","1","6","7","0.2800","7","14","0","0","0","0","2014-2015","augsburg"
"Megan Robertson","F","Fr","25","4","2","6","0.2400","15","30","0","1","0","0","2014-2015","augsburg"
"Halie Gudmonson","F/D","So","21","2","4","6","0.2857","17","37","1","0","0","0","2014-2015","augsburg"
"Brenna Nakonechny","D","Jr","25","2","3","5","0.2000","7","14","0","2","0","0","2014-2015","augsburg"
"Darby Lindgren","F","So","17","1","3","4","0.2353","4","8","0","0","0","0","2014-2015","augsburg"
"Sarah Buckner","D","Jr","25","1","1","2","0.0800","4","8","0","0","0","0","2014-2015","augsburg"
"Kendall Christian","F","Sr","24","1","0","1","0.0417","6","12","0","0","0","0","2014-2015","augsburg"
"Megan Bergland","F","Jr","25","1","0","1","0.0400","0","0","0","0","0","0","2014-2015","augsburg"
"Savannah Seeger","F","So","25","0","1","1","0.0400","2","4","0","0","0","0","2014-2015","augsburg"
"Ellie Schaaf","F","Sr","25","0","1","1","0.0400","7","14","0","0","0","0","2014-2015","augsburg"
"Abigail Dickinson","D","Jr","25","0","1","1","0.0400","7","25","0","0","0","0","2014-2015","augsburg"
"Emma Rucinski","F","So","11","0","0","0","0.0000","1","2","0","0","0","0","2014-2015","augsburg"
"Riley Siddorn","F","Jr","7","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","augsburg"
"Rebecca Sonnek","G","Fr","4","0","0","0","0.0000","1","2","0","0","0","0","2014-2015","augsburg"
"Afton Phelps","F","Fr","21","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","augsburg"
"Erika Allen","G","Jr","19","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","augsburg"
"Brianna Schulz","G","Sr","4","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","augsburg"
"Taral Clayton","D","Fr","23","0","0","0","0.0000","1","2","0","0","0","0","2014-2015","augsburg"
"Tori Salmon","F","Sr","26","16","18","34","1.3077","2","4","4","3","1","0","2014-2015","amherst"
"Erin Martin","F","Jr","26","6","22","28","1.0769","5","10","1","1","0","0","2014-2015","amherst"
"Emily Flom","F","Sr","26","10","15","25","0.9615","10","20","1","0","0","0","2014-2015","amherst"
"Lynndy Smith","D","So","26","6","18","24","0.9231","2","7","3","5","1","0","2014-2015","amherst"
"Alex Toupal","F","Fr","26","8","10","18","0.6923","6","12","2","1","0","1","2014-2015","amherst"
"Brenna Sullivan","F","Fr","23","11","6","17","0.7391","2","4","3","0","0","1","2014-2015","amherst"
"Emma Griese","F","Fr","26","7","10","17","0.6538","1","2","1","3","0","0","2014-2015","amherst"
"Caitlyn Ryan","D","So","26","5","12","17","0.6538","4","8","0","3","0","0","2014-2015","amherst"
"Madeline Tank","F","Sr","26","5","5","10","0.3846","6","12","0","2","0","1","2014-2015","amherst"
"Eileen Harris","F","Jr","26","4","4","8","0.3077","7","14","1","0","0","0","2014-2015","amherst"
"Kristen Molina","F/D","Fr","26","0","5","5","0.1923","3","6","0","0","0","0","2014-2015","amherst"
"Audrey Duquette","F","So","26","1","2","3","0.1154","4","8","1","0","0","0","2014-2015","amherst"
"Caroline Bomstein","D","Jr","26","0","3","3","0.1154","2","4","0","0","0","0","2014-2015","amherst"
"Anne Gillard","F","Sr","24","0","3","3","0.1250","1","2","0","0","0","0","2014-2015","amherst"
"Camille Herzog","D","So","26","0","2","2","0.0769","5","10","0","0","0","0","2014-2015","amherst"
"Molly Connolly","F","So","26","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","amherst"
"Melissa Martin","D","Sr","26","0","0","0","0.0000","4","8","0","0","0","0","2014-2015","amherst"
"Bailey Plaman","G","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","amherst"
"Sabrina Dobbins","G","Fr","11","0","0","0","0.0000","1","2","0","0","0","0","2014-2015","amherst"
"Alison Ahn","F","So","22","0","0","0","0.0000","2","4","0","0","0","0","2014-2015","amherst"
"Yuna Evans","G","So","16","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","amherst"
"Kathryn Larson","F","So","28","24","13","37","1.3214","6","12","4","6","2","2","2014-2015","bethel"
"Lindsay Burman","F","Sr","28","10","13","23","0.8214","19","38","1","1","0","0","2014-2015","bethel"
"Caroline Kivisto","F","Jr","28","8","14","22","0.7857","9","18","0","2","0","0","2014-2015","bethel"
"Lauren Kolak","F","So","26","9","12","21","0.8077","10","20","1","1","0","0","2014-2015","bethel"
"Kalie Johnson","F","Sr","28","9","12","21","0.7500","6","12","1","4","0","1","2014-2015","bethel"
"Megan O'Brian","F","So","28","8","9","17","0.6071","16","32","2","1","0","1","2014-2015","bethel"
"Natalie Simons","F","Fr","28","6","9","15","0.5357","4","8","1","2","0","0","2014-2015","bethel"
"Erin Harper","D","Jr","28","2","10","12","0.4286","14","28","0","0","0","0","2014-2015","bethel"
"Briita Nelson","F","Fr","27","2","7","9","0.3333","7","14","1","0","0","0","2014-2015","bethel"
"Wendy Roberts","F","Fr","28","2","4","6","0.2143","3","6","2","0","0","0","2014-2015","bethel"
"Hadley Cookson","F","Jr","28","2","4","6","0.2143","2","4","1","0","0","0","2014-2015","bethel"
"Karly Vohden","D","So","28","0","4","4","0.1429","2","4","0","0","0","0","2014-2015","bethel"
"Jill Larson","F","Jr","28","0","4","4","0.1429","4","8","0","0","0","0","2014-2015","bethel"
"Megan Niblock","D","So","28","1","1","2","0.0714","1","2","1","0","0","0","2014-2015","bethel"
"Megan Nickel","D","Fr","22","1","0","1","0.0455","0","0","0","0","0","0","2014-2015","bethel"
"Beth Tangen","F","Fr","12","1","0","1","0.0833","0","0","0","0","0","0","2014-2015","bethel"
"Jessica Gapinski","F","Jr","18","0","1","1","0.0556","4","8","0","0","0","0","2014-2015","bethel"
"Megan Hansen","G","So","1","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","bethel"
"Maggie Straka","G","Fr","8","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","bethel"
"Michelle Klimstra","G","Fr","22","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","bethel"
"Hannah Williams","D","So","22","0","0","0","0.0000","2","4","0","0","0","0","2014-2015","bethel"
"Becca Dilley","D","So","16","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","bethel"
"Kelsey Johnston","D","Jr","22","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","bethel"
"Kaitlyn Tougas","F","Jr","39","13","14","27","0.6923","10","20","3","1","1","2","2014-2015","bemidji-state"
"Stephanie Anderson","F","Jr","39","14","10","24","0.6154","20","40","3","3","0","2","2014-2015","bemidji-state"
"Ivana Bilic","D","Jr","39","5","18","23","0.5897","23","46","2","2","0","0","2014-2015","bemidji-state"
"Alexis Joyce","D","Fr","39","4","14","18","0.4615","17","42","1","1","0","0","2014-2015","bemidji-state"
"Kristine Grenier","F","Sr","39","3","15","18","0.4615","15","30","0","1","0","0","2014-2015","bemidji-state"
"Hanna Moher","F","Jr","39","8","8","16","0.4103","0","0","2","0","0","0","2014-2015","bemidji-state"
"Madison Hutchinson","D","So","39","2","12","14","0.3590","10","20","0","1","0","0","2014-2015","bemidji-state"
"Kristin Huber","F","Sr","36","8","5","13","0.3611","11","33","3","2","0","0","2014-2015","bemidji-state"
"Whitney Wivoda","F","Sr","38","5","8","13","0.3421","3","6","1","1","0","0","2014-2015","bemidji-state"
"Lauren Miller","F","So","39","8","2","10","0.2564","16","32","3","3","0","0","2014-2015","bemidji-state"
"Alexandria Citrowske","F","Sr","39","4","6","10","0.2564","6","12","1","0","0","0","2014-2015","bemidji-state"
"Rachael Kelly","F","Sr","35","4","4","8","0.2286","6","12","1","1","0","0","2014-2015","bemidji-state"
"Summer Thibodeau","F","Fr","28","3","2","5","0.1786","0","0","0","0","0","0","2014-2015","bemidji-state"
"Megan Lushanko","F","Jr","17","2","3","5","0.2941","0","0","0","0","0","0","2014-2015","bemidji-state"
"Emma Terres","D","Fr","37","1","3","4","0.1081","1","2","1","0","0","0","2014-2015","bemidji-state"
"Ciscely Nelson","F","So","37","0","4","4","0.1081","2","4","0","0","0","0","2014-2015","bemidji-state"
"Kayleigh Chapman","D","Sr","37","0","4","4","0.1081","19","38","0","0","0","0","2014-2015","bemidji-state"
"Jenessa Philipczyk","F","Sr","17","2","0","2","0.1176","1","2","0","0","0","0","2014-2015","bemidji-state"
"Alex Bond","D","Fr","5","0","2","2","0.4000","0","0","0","0","0","0","2014-2015","bemidji-state"
"Reilly Fawcett","F","Fr","25","0","2","2","0.0800","0","0","0","0","0","0","2014-2015","bemidji-state"
"Brittni Mowat","G","So","33","0","0","0","0.0000","0","0","0","0","0","0","2014-2015","bemidji-state"
