"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Stacey Kempson","F","So","24","18","19","37","1.5417","33","82","5","1","1","1","2008-2009","adrian"
"Jessica Grubbs","F","So","25","25","11","36","1.4400","11","22","8","11","2","2","2008-2009","adrian"
"Brooke Zaleski","F","Fr","25","6","14","20","0.8000","15","30","0","1","1","1","2008-2009","adrian"
"Alexis Glenn","D","So","25","6","11","17","0.6800","13","26","1","3","0","0","2008-2009","adrian"
"Lyndsay Laxton","F","Sr","21","8","4","12","0.5714","15","30","1","1","0","0","2008-2009","adrian"
"Kelly Salis","D","Fr","23","2","8","10","0.4348","7","14","1","0","0","0","2008-2009","adrian"
"Olivia Rork","F","Fr","24","5","4","9","0.3750","16","43","2","0","0","0","2008-2009","adrian"
"Steph Dimini","F","So","19","3","6","9","0.4737","1","2","0","1","0","0","2008-2009","adrian"
"Andrea Soloko","D","So","19","0","9","9","0.4737","14","39","0","0","0","0","2008-2009","adrian"
"Prenella Semma","F","Fr","25","3","5","8","0.3200","6","12","0","0","0","1","2008-2009","adrian"
"Shana Davis","LW","So","25","1","5","6","0.2400","3","6","0","0","0","0","2008-2009","adrian"
"Nicky Futers","F","So","17","2","3","5","0.2941","4","8","0","1","0","0","2008-2009","adrian"
"Nicole Zynda","D","Jr","25","1","4","5","0.2000","4","8","0","0","0","0","2008-2009","adrian"
"Jodi Myers","D","So","17","0","5","5","0.2941","5","10","0","0","0","0","2008-2009","adrian"
"Lauren Anastos","F","So","24","2","2","4","0.1667","5","10","0","0","0","0","2008-2009","adrian"
"Dana Funkenhauser","D","So","19","0","4","4","0.2105","17","34","0","0","0","0","2008-2009","adrian"
"Ainsley Coon","F","So","20","0","3","3","0.1500","1","5","0","0","0","0","2008-2009","adrian"
"Erin Winters","D","Fr","10","1","0","1","0.1000","1","2","0","0","0","0","2008-2009","adrian"
"Jenna Corbin","F","So","6","1","0","1","0.1667","1","2","0","0","0","0","2008-2009","adrian"
"Erin Roach","G","So","2","0","0","0","0.0000","0","0","0","0","0","0","2008-2009","adrian"
"Leah Humphries","F","So","5","0","0","0","0.0000","1","2","0","0","0","0","2008-2009","adrian"
"Danielle Maludy","D","So","3","0","0","0","0.0000","2","4","0","0","0","0","2008-2009","adrian"
"Meaghan Smerecki","G","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2008-2009","adrian"
"Ashley Aiken","F/D","So","4","0","0","0","0.0000","1","2","0","0","0","0","2008-2009","adrian"
"Dana Timm","G","Jr","24","0","0","0","0.0000","1","2","0","0","0","0","2008-2009","adrian"
"Nikki Potter","D","So","6","0","0","0","0.0000","2","4","0","0","0","0","2008-2009","adrian"
"Alysha Drouin","F","So","3","0","0","0","0.0000","0","0","0","0","0","0","2008-2009","adrian"
"Courtney Hanlon","F","So","29","19","14","33","1.1379","18","36","4","3","0","0","2008-2009","amherst"
"Tarasai Karega","F","Sr","29","10","16","26","0.8966","9","18","0","4","0","0","2008-2009","amherst"
"Kate Dennett","F","Jr","28","11","14","25","0.8929","10","20","4","4","0","0","2008-2009","amherst"
"Lindsey Harrington","F","Sr","26","9","15","24","0.9231","6","12","3","3","1","0","2008-2009","amherst"
"Emily Vitale","F","Fr","26","7","15","22","0.8462","7","14","3","1","0","0","2008-2009","amherst"
"Michelle McGann","F","Jr","29","8","11","19","0.6552","6","12","3","4","0","0","2008-2009","amherst"
"Megan Curry","F","So","28","7","9","16","0.5714","9","18","3","3","1","0","2008-2009","amherst"
"Randi Zukas","D","So","29","6","10","16","0.5517","20","40","1","1","0","0","2008-2009","amherst"
"Julia Koch","D","So","29","3","13","16","0.5517","7","14","0","2","0","0","2008-2009","amherst"
"Kirsten Dier","D","Jr","28","5","9","14","0.5000","12","24","0","3","0","0","2008-2009","amherst"
"Stephanie Clegg","D","Fr","29","3","11","14","0.4828","19","38","2","1","0","0","2008-2009","amherst"
"Anna MacLean","F","Sr","28","5","5","10","0.3571","7","14","0","0","0","0","2008-2009","amherst"
"Josie Fisher","F","Fr","22","4","6","10","0.4545","1","2","0","1","0","0","2008-2009","amherst"
"Brittney Evans","F","So","23","6","2","8","0.3478","5","10","1","1","0","0","2008-2009","amherst"
"Julie Radziewicz","D","Sr","29","0","7","7","0.2414","8","16","0","0","0","0","2008-2009","amherst"
"Molly Malloy","D","Jr","22","3","2","5","0.2273","2","4","0","1","0","0","2008-2009","amherst"
"Braidie Campbell","F","So","23","2","3","5","0.2174","9","26","0","1","0","0","2008-2009","amherst"
"Ellen Swiontkowski","F","Fr","16","1","3","4","0.2500","3","6","0","0","0","1","2008-2009","amherst"
"Alyssa Chwick","D","Jr","29","0","3","3","0.1034","12","24","0","0","0","0","2008-2009","amherst"
"Cianna Wyshnytzky","F","So","19","0","2","2","0.1053","4","8","0","0","0","0","2008-2009","amherst"
"Krystyn Elek","G","Jr","20","0","0","0","0.0000","0","0","0","0","0","0","2008-2009","amherst"
"Sinead Murphy","G","Fr","4","0","0","0","0.0000","0","0","0","0","0","0","2008-2009","amherst"
"Caroline Hu","G","So","8","0","0","0","0.0000","0","0","0","0","0","0","2008-2009","amherst"
"Tiffany Magnuson","F","Sr","25","9","10","19","0.7600","4","8","0","2","1","0","2008-2009","augsburg"
"Kali Holst","F","Fr","25","9","4","13","0.5200","5","10","0","3","2","0","2008-2009","augsburg"
"Sara Toft","F","Jr","22","3","8","11","0.5000","11","22","2","1","0","0","2008-2009","augsburg"
"Brya Erickson","D","So","25","3","6","9","0.3600","18","36","0","2","0","0","2008-2009","augsburg"
"Andrea Toft","F","Jr","25","3","5","8","0.3200","19","38","0","1","0","0","2008-2009","augsburg"
"Alison Ulseth","F","Fr","25","4","3","7","0.2800","6","12","0","2","0","0","2008-2009","augsburg"
"Jenna Knudtson","F","So","25","3","4","7","0.2800","3","6","2","0","0","0","2008-2009","augsburg"
"Whitney Restemayer","D","Jr","23","3","3","6","0.2609","23","46","0","2","0","0","2008-2009","augsburg"
"Erin Leyden","F","So","24","3","2","5","0.2083","3","6","1","0","0","0","2008-2009","augsburg"
"Jess Olson","F","Jr","25","0","5","5","0.2000","26","52","0","0","0","0","2008-2009","augsburg"
"Whitney Pratt","D","So","20","1","2","3","0.1500","4","8","0","0","0","0","2008-2009","augsburg"
"Elise Hedlund","F","So","23","0","3","3","0.1304","16","32","0","0","0","0","2008-2009","augsburg"
