"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Rachel Simon","F","So","24","12","17","29","1.2083","0","3","1","0","2004-2005","amherst"
"Renee Sisti","F","Jr","25","13","10","23","0.9200","3","6","0","0","2004-2005","amherst"
"Tes Siarnacki","D","So","25","9","12","21","0.8400","2","3","0","0","2004-2005","amherst"
"Leah Kaplan","F","Jr","23","8","6","14","0.6087","1","1","0","0","2004-2005","amherst"
"Elizabeth Ditmore","F","Fr","25","3","7","10","0.4000","0","0","0","0","2004-2005","amherst"
"Meghan Dickoff","D","So","25","4","3","7","0.2800","0","0","0","0","2004-2005","amherst"
"Alena Harrison","F","So","25","3","4","7","0.2800","0","2","0","0","2004-2005","amherst"
"Natanya Khazzam","F","Fr","24","2","3","5","0.2083","1","0","0","0","2004-2005","amherst"
"Katharine Kelly","D","Fr","25","2","3","5","0.2000","1","0","0","0","2004-2005","amherst"
"Amanda Mattei","D","Jr","25","0","5","5","0.2000","0","0","0","0","2004-2005","amherst"
"Kirsten Forsberg","D","So","25","0","5","5","0.2000","0","0","0","0","2004-2005","amherst"
"Megan Quinn","D","Fr","25","1","2","3","0.1200","0","0","0","0","2004-2005","amherst"
"Samantha Miller","D","Fr","24","0","3","3","0.1250","0","0","0","0","2004-2005","amherst"
"Christa Porcaro","F","Fr","22","1","1","2","0.0909","0","0","0","0","2004-2005","amherst"
"Fairlee Frey","D","Fr","24","0","2","2","0.0833","0","0","0","0","2004-2005","amherst"
"Sarah Mason","D","Sr","25","0","1","1","0.0400","0","0","0","0","2004-2005","amherst"
"Bethany Croy","D","Jr","12","0","1","1","0.0833","0","0","0","0","2004-2005","amherst"
"Emily Cronin","D","So","25","0","1","1","0.0400","0","0","0","0","2004-2005","amherst"
"Lindsay Grabowski","G","So","18","0","0","0","0.0000","0","0","0","0","2004-2005","amherst"
"Stacey Johnston","G","Fr","8","0","0","0","0.0000","0","0","0","0","2004-2005","amherst"
"Jess Matthews","F","Jr","1","0","0","0","0.0000","0","0","0","0","2004-2005","amherst"
"Annie Grabowski","F","Sr","20","0","0","0","0.0000","0","0","0","0","2004-2005","amherst"
"Kelly Hart","F","So","34","8","21","29","0.8529","1","1","0","0","2004-2005","bemidji-state"
"Nikki Eckebrecht","C","So","35","10","11","21","0.6000","1","2","0","0","2004-2005","bemidji-state"
"Tara Hiscock","F","Fr","35","9","12","21","0.6000","1","6","0","0","2004-2005","bemidji-state"
"Kate Robinson","C","So","33","10","6","16","0.4848","1","5","0","0","2004-2005","bemidji-state"
"Carly Napier","F","Jr","35","10","4","14","0.4000","3","1","0","1","2004-2005","bemidji-state"
"Helena Tageson","F","So","31","4","8","12","0.3871","1","1","0","0","2004-2005","bemidji-state"
"Jenny Schnickel","D","Sr","35","6","5","11","0.3143","0","2","0","0","2004-2005","bemidji-state"
"Sarah Zuelke","D","Jr","35","2","5","7","0.2000","0","1","0","0","2004-2005","bemidji-state"
