"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Kelsey Kusch","F","Jr","27","22","25","47","1.7407","1","2","3","7","0","0","2013-2014","adrian"
"Hannah McGowan","F","Jr","27","14","21","35","1.2963","12","24","2","4","1","0","2013-2014","adrian"
"Alix Vallee","D","Sr","27","4","27","31","1.1481","20","51","2","3","0","0","2013-2014","adrian"
"Kristin Lewicki","F","Fr","27","14","13","27","1.0000","1","2","3","1","5","0","2013-2014","adrian"
"Danielle Smith","LW","Sr","22","9","15","24","1.0909","20","59","2","4","0","0","2013-2014","adrian"
"Devyn Fitzhenry","F","So","26","10","12","22","0.8462","4","8","3","4","0","0","2013-2014","adrian"
"Lauren Turner","F","Sr","27","4","17","21","0.7778","11","22","0","0","0","0","2013-2014","adrian"
"Kaylyn Schroka","F","Fr","25","7","9","16","0.6400","2","4","0","1","0","0","2013-2014","adrian"
"Courtney Millar","D","Jr","23","4","12","16","0.6957","21","42","0","1","0","0","2013-2014","adrian"
"Sarah Shureb","F","Fr","24","8","7","15","0.6250","2","4","1","1","0","0","2013-2014","adrian"
"Michelle Jones","F","So","25","7","6","13","0.5200","9","18","1","0","0","0","2013-2014","adrian"
"Lexie Tzafaroglou","D","Fr","27","3","8","11","0.4074","5","10","1","3","0","0","2013-2014","adrian"
"Audrey Noles","D","So","27","3","7","10","0.3704","9","29","0","0","0","0","2013-2014","adrian"
"Abby Kibler","F","So","27","4","5","9","0.3333","6","12","0","0","0","0","2013-2014","adrian"
"Sydney Smith","D","Fr","18","4","4","8","0.4444","3","6","0","0","0","0","2013-2014","adrian"
"Sydney Dobbin","D","Fr","20","2","6","8","0.4000","8","16","0","0","0","0","2013-2014","adrian"
"Emily Duncan","F","Fr","18","2","2","4","0.2222","6","23","0","0","0","0","2013-2014","adrian"
"Bailey Robertson","F","Fr","16","1","3","4","0.2500","0","0","1","0","0","0","2013-2014","adrian"
"Courtney Tyll","F","Fr","14","0","3","3","0.2143","0","0","0","0","0","0","2013-2014","adrian"
"McKenzie Carey","F","Fr","16","1","1","2","0.1250","4","8","0","0","0","0","2013-2014","adrian"
"Cara Harm","F","Jr","11","0","2","2","0.1818","0","0","0","0","0","0","2013-2014","adrian"
"Kelsey Dupuis","D","Jr","12","0","0","0","0.0000","0","0","0","0","0","0","2013-2014","adrian"
"Jade Walsh","G","Fr","21","0","0","0","0.0000","0","0","0","0","0","0","2013-2014","adrian"
"Allie Carter","G","So","2","0","0","0","0.0000","0","0","0","0","0","0","2013-2014","adrian"
"Brooke Gibson","G","Fr","10","0","0","0","0.0000","0","0","0","0","0","0","2013-2014","adrian"
"Tori Salmon","F","Jr","25","16","9","25","1.0000","4","8","3","1","0","2","2013-2014","amherst"
"Erin Martin","F","So","25","10","10","20","0.8000","6","12","2","5","0","0","2013-2014","amherst"
"Eileen Harris","F","So","25","6","9","15","0.6000","7","14","1","0","0","0","2013-2014","amherst"
"Courtney Baranek","F","Sr","25","5","9","14","0.5600","0","0","2","3","0","0","2013-2014","amherst"
"Caitlyn Ryan","D","Fr","25","1","13","14","0.5600","5","10","0","1","0","0","2013-2014","amherst"
"Emily Flom","F","Jr","25","6","7","13","0.5200","7","14","2","3","0","1","2013-2014","amherst"
"Lynndy Smith","D","Fr","25","3","8","11","0.4400","3","6","1","2","0","0","2013-2014","amherst"
"Madeline Tank","F","Jr","25","6","4","10","0.4000","8","16","1","3","0","0","2013-2014","amherst"
