"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Brooke Zaleski","F","So","26","10","17","27","1.0385","11","22","1","3","1","0","2009-2010","adrian"
"Jessica Grubbs","F","Jr","28","14","9","23","0.8214","10","20","3","2","0","0","2009-2010","adrian"
"Stacey Kempson","F","Jr","15","11","7","18","1.2000","18","47","0","5","1","0","2009-2010","adrian"
"Kelly Salis","D","So","28","5","11","16","0.5714","9","18","1","1","0","0","2009-2010","adrian"
"Danielle Maludy","D","Jr","28","2","14","16","0.5714","12","24","0","2","0","0","2009-2010","adrian"
"Prenella Semma","F/RW","So","28","6","7","13","0.4643","5","10","0","1","0","0","2009-2010","adrian"
"Shana Davis","LW","Jr","27","5","7","12","0.4444","4","8","2","0","0","0","2009-2010","adrian"
"Olivia Rork","F/RW","So","28","5","6","11","0.3929","29","66","2","1","0","0","2009-2010","adrian"
"Ashley Gniewek","F","Fr","28","2","7","9","0.3214","4","8","0","0","0","0","2009-2010","adrian"
"Dana Funkenhauser","D","Jr","27","0","9","9","0.3333","32","72","0","0","0","0","2009-2010","adrian"
"Nicky Futers","F","Jr","26","4","3","7","0.2692","15","30","0","2","0","0","2009-2010","adrian"
"Lauren Anastos","F","Jr","26","4","2","6","0.2308","4","8","1","2","0","0","2009-2010","adrian"
"Alysha Drouin","F","Jr","26","2","3","5","0.1923","13","26","1","0","0","0","2009-2010","adrian"
"Jenna Corbin","F/C","Jr","27","0","5","5","0.1852","12","24","0","0","0","0","2009-2010","adrian"
"Andrea Soloko","D","Jr","26","2","2","4","0.1538","18","36","2","1","0","0","2009-2010","adrian"
"Ashley Aiken","F/D","Jr","20","2","0","2","0.1000","0","0","2","0","0","0","2009-2010","adrian"
"Ainsley Coon","F","Jr","8","1","0","1","0.1250","0","0","0","0","0","0","2009-2010","adrian"
"Nikki Potter","D","Jr","18","0","1","1","0.0556","2","4","0","0","0","0","2009-2010","adrian"
