"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Kristin Lewicki","F","Jr","28","32","16","48","1.7143","2","4","7","11","2","0","2015-2016","adrian"
"Kaylyn Schroka","F","Jr","28","19","23","42","1.5000","3","6","4","5","1","2","2015-2016","adrian"
"Logan Taylor","F","Sr","28","10","31","41","1.4643","20","48","1","3","1","1","2015-2016","adrian"
"Brooke Lupi","F","Fr","28","16","18","34","1.2143","28","67","3","5","0","0","2015-2016","adrian"
"Sydney Smith","D","Jr","28","7","23","30","1.0714","16","32","1","4","0","0","2015-2016","adrian"
"Michelle Jones","F","Sr","28","7","20","27","0.9643","14","28","2","0","0","0","2015-2016","adrian"
"Sarah Shureb","F","Jr","28","10","5","15","0.5357","4","8","1","1","0","1","2015-2016","adrian"
"Lexie Tzafaroglou","D","Jr","28","5","9","14","0.5000","4","8","1","1","0","0","2015-2016","adrian"
"Hannah Dalrymple","F","Fr","24","3","11","14","0.5833","3","6","0","1","0","0","2015-2016","adrian"
"Audrey Noles","D","Sr","28","4","7","11","0.3929","7","14","0","1","0","0","2015-2016","adrian"
"Kristi Zink","D","So","28","1","10","11","0.3929","10","20","1","0","0","0","2015-2016","adrian"
"Kortney Diaz","F","Fr","25","4","6","10","0.4000","3","6","1","0","0","0","2015-2016","adrian"
"Courtney Tyll","F","Jr","27","3","3","6","0.2222","3","6","1","0","0","0","2015-2016","adrian"
"Kayla Murray","F","Fr","24","2","3","5","0.2083","8","16","0","0","0","0","2015-2016","adrian"
"Bailey Robertson","F","Jr","24","1","4","5","0.2083","0","0","0","0","0","0","2015-2016","adrian"
"Rose Krasofsky","F","So","20","3","1","4","0.2000","1","2","0","0","0","0","2015-2016","adrian"
"Olivia Ziemba","F","Fr","22","2","2","4","0.1818","1","2","1","0","0","0","2015-2016","adrian"
"Shelly Czarnowczan","D","Fr","24","2","2","4","0.1667","0","0","1","0","0","0","2015-2016","adrian"
"Kelsey Dupuis","D","Sr","26","0","4","4","0.1538","1","2","0","0","0","0","2015-2016","adrian"
"Emily Duncan","F","Jr","5","0","1","1","0.2000","1","2","0","0","0","0","2015-2016","adrian"
