"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Lindsey Harrington","F","Fr","25","15","10","25","1.0000","0","5","1","0","2005-2006","amherst"
"Tarasai Karega","F","Fr","24","16","5","21","0.8750","3","9","3","0","2005-2006","amherst"
"Anna MacLean","F","Fr","25","10","4","14","0.5600","3","3","0","0","2005-2006","amherst"
"Renee Sisti","F","Sr","24","3","10","13","0.5417","0","0","0","0","2005-2006","amherst"
"Meghan Dickoff","D","Jr","25","5","7","12","0.4800","0","1","0","0","2005-2006","amherst"
"Rachel Simon","F","Jr","25","2","10","12","0.4800","0","1","0","0","2005-2006","amherst"
"Elizabeth Ditmore","F","So","25","2","8","10","0.4000","0","1","0","0","2005-2006","amherst"
"Tes Siarnacki","D","Jr","25","3","6","9","0.3600","1","3","0","0","2005-2006","amherst"
"Megan Quinn","D","So","25","3","5","8","0.3200","0","1","0","0","2005-2006","amherst"
"Katharine Kelly","D","So","25","1","7","8","0.3200","0","1","0","0","2005-2006","amherst"
"Alena Harrison","F","Jr","25","1","5","6","0.2400","0","0","0","0","2005-2006","amherst"
"Leah Kaplan","F","Sr","18","3","2","5","0.2778","0","0","0","0","2005-2006","amherst"
"Kirsten Forsberg","D","Jr","25","3","2","5","0.2000","2","1","0","0","2005-2006","amherst"
"Julie Radziewicz","D","Fr","25","0","4","4","0.1600","0","0","0","0","2005-2006","amherst"
"Amanda Mattei","D","Sr","25","0","4","4","0.1600","0","0","0","0","2005-2006","amherst"
"Natanya Khazzam","F","So","17","1","2","3","0.1765","1","0","0","0","2005-2006","amherst"
"Christa Porcaro","F","So","24","0","2","2","0.0833","0","0","0","0","2005-2006","amherst"
"Fairlee Frey","D","So","22","0","1","1","0.0455","0","0","0","0","2005-2006","amherst"
"Emily Cronin","D","Jr","13","0","0","0","0.0000","0","0","0","0","2005-2006","amherst"
"Bethany Croy","D","Sr","5","0","0","0","0.0000","0","0","0","0","2005-2006","amherst"
"Lindsay Grabowski","G","Jr","3","0","0","0","0.0000","0","0","0","0","2005-2006","amherst"
"Blanca Myers","F","Fr","3","0","0","0","0.0000","0","0","0","0","2005-2006","amherst"
"Stacey Johnston","G","So","23","0","0","0","0.0000","0","0","0","0","2005-2006","amherst"
"Tiffany Magnuson","F/D","Fr","25","21","6","27","1.0800","3","5","1","0","2005-2006","augsburg"
"Caryn Quist","F","Fr","25","5","10","15","0.6000","0","3","0","0","2005-2006","augsburg"
"Jocelyn Cookson","F","Sr","15","8","5","13","0.8667","1","2","0","0","2005-2006","augsburg"
"Calla Lundquist","D","Sr","25","5","8","13","0.5200","1","1","0","0","2005-2006","augsburg"
"Brittney LeBlanc","D","So","25","4","5","9","0.3600","1","1","0","0","2005-2006","augsburg"
"Katie Medd","F","So","25","7","1","8","0.3200","0","1","0","0","2005-2006","augsburg"
"Jenny Schmidt","F","So","25","2","6","8","0.3200","1","1","0","0","2005-2006","augsburg"
"Jackie Keller","D","So","25","2","5","7","0.2800","0","0","0","0","2005-2006","augsburg"
"Christina Waller","D","Fr","25","1","6","7","0.2800","0","0","0","0","2005-2006","augsburg"
"Jennilee Moe","F","So","25","1","4","5","0.2000","0","0","0","0","2005-2006","augsburg"
"Britt Pennington","D","Jr","25","0","5","5","0.2000","0","0","0","0","2005-2006","augsburg"
"Samantha Farrell","F","Fr","23","2","2","4","0.1739","1","0","0","0","2005-2006","augsburg"
"Katie Johnson","F","So","25","0","4","4","0.1600","0","0","0","0","2005-2006","augsburg"
"Jena Kleis","G","So","6","0","0","0","0.0000","0","0","0","0","2005-2006","augsburg"
"Emily Merhar","D","Fr","20","0","0","0","0.0000","0","0","0","0","2005-2006","augsburg"
"Amanda Bockmann","G","So","22","0","0","0","0.0000","0","0","0","0","2005-2006","augsburg"
"Sadie Dietrich","F","Fr","7","0","0","0","0.0000","0","0","0","0","2005-2006","augsburg"
"Kelly Hart","F","Jr","36","8","22","30","0.8333","1","0","0","0","2005-2006","bemidji-state"
"Nikki Eckebrecht","C","Jr","36","13","10","23","0.6389","1","4","0","0","2005-2006","bemidji-state"
"Helena Tageson","F","Jr","34","11","9","20","0.5882","1","6","0","0","2005-2006","bemidji-state"
"Tara Hiscock","F","So","36","11","5","16","0.4444","1","4","0","0","2005-2006","bemidji-state"
"Brooke Collins","D","Fr","36","2","14","16","0.4444","0","1","0","0","2005-2006","bemidji-state"
"Jessica Pullar","F","So","35","9","6","15","0.4286","3","6","0","0","2005-2006","bemidji-state"
"Sarah Zuelke","D","Sr","35","2","8","10","0.2857","1","1","0","0","2005-2006","bemidji-state"
"Allison Johanson","D","Fr","32","3","6","9","0.2813","0","1","0","0","2005-2006","bemidji-state"
"Haley Balcom","D","So","36","1","7","8","0.2222","1","1","0","0","2005-2006","bemidji-state"
"Kate Robinson","C","Jr","36","3","4","7","0.1944","1","1","1","0","2005-2006","bemidji-state"
"Aimee Collins","F","Sr","32","3","2","5","0.1563","0","0","0","0","2005-2006","bemidji-state"
"Laura Lankton","D","Sr","31","0","4","4","0.1290","0","0","0","0","2005-2006","bemidji-state"
"Nina Ziegenhals","D","Jr","25","0","4","4","0.1600","0","0","0","0","2005-2006","bemidji-state"
"Melissa Schaeffer","F/D","Sr","33","2","1","3","0.0909","0","0","0","0","2005-2006","bemidji-state"
"Lisa Kissick","F","Fr","25","1","2","3","0.1200","0","0","0","0","2005-2006","bemidji-state"
"Jenn Sadler","F","Jr","30","1","2","3","0.1000","0","0","0","0","2005-2006","bemidji-state"
"Carly Napier","F","Sr","33","1","1","2","0.0606","1","0","0","0","2005-2006","bemidji-state"
"Jill Luebke","G","Sr","21","0","2","2","0.0952","0","0","0","0","2005-2006","bemidji-state"
"Whitney Sears","D","Fr","8","1","0","1","0.1250","0","0","0","0","2005-2006","bemidji-state"
"Monica Rawlings","F","Fr","34","0","1","1","0.0294","0","0","0","0","2005-2006","bemidji-state"
"Emily Brookshaw","G","So","19","0","0","0","0.0000","0","0","0","0","2005-2006","bemidji-state"
"Jaime LeDuc","F","So","16","0","0","0","0.0000","0","0","0","0","2005-2006","bemidji-state"
"Mandy Bambrough","G","Sr","5","0","0","0","0.0000","0","0","0","0","2005-2006","bemidji-state"
"Wendy Bergh","D","Fr","20","0","0","0","0.0000","0","0","0","0","2005-2006","bemidji-state"
"Deborah Spillane","F","So","35","17","18","35","1.0000","4","5","1","0","2005-2006","boston-college"
"Sarah Feldman","F","So","35","14","18","32","0.9143","2","7","1","0","2005-2006","boston-college"
"Becky Zavisza","F","Fr","35","17","12","29","0.8286","3","4","1","1","2005-2006","boston-college"
"Meghan Fardelmann","F","Fr","35","9","10","19","0.5429","1","0","0","1","2005-2006","boston-college"
"Maggie Taverna","D","Fr","35","7","11","18","0.5143","2","4","2","0","2005-2006","boston-college"
"Cristin Stuart","D","So","32","2","12","14","0.4375","0","0","0","0","2005-2006","boston-college"
"Jill McInnis","D","Sr","30","6","6","12","0.4000","2","0","1","0","2005-2006","boston-college"
"Colleen Harris","F","So","30","2","7","9","0.3000","1","0","0","0","2005-2006","boston-college"
"Erin Blood","D","So","35","4","4","8","0.2286","1","1","0","0","2005-2006","boston-college"
"Shannon Webster","F","Fr","33","2","5","7","0.2121","1","1","0","0","2005-2006","boston-college"
"Lindsay Wright","F","So","35","2","4","6","0.1714","1","1","0","0","2005-2006","boston-college"
"Brie Baskin","D","Fr","33","0","6","6","0.1818","0","0","0","0","2005-2006","boston-college"
"Stephanie Olchowski","D","Fr","31","1","3","4","0.1290","0","0","0","0","2005-2006","boston-college"
"Nancy Gillis","F","Sr","35","3","0","3","0.0857","1","0","1","1","2005-2006","boston-college"
"Krystal Strassman","D","Jr","26","1","2","3","0.1154","0","0","0","0","2005-2006","boston-college"
"Lee-J Mirasolo","F","So","35","1","1","2","0.0571","1","0","0","0","2005-2006","boston-college"
"Michelle Lombardi","F","Jr","30","1","0","1","0.0333","0","0","0","0","2005-2006","boston-college"
"Rachel Wedig","D","So","29","0","1","1","0.0345","0","0","0","0","2005-2006","boston-college"
"Sarah Courtney","F","Sr","35","0","1","1","0.0286","0","0","0","0","2005-2006","boston-college"
"Jessica Wilson","D","Jr","1","0","0","0","0.0000","0","0","0","0","2005-2006","boston-college"
"Lauren Wiedmeier","F","Fr","3","0","0","0","0.0000","0","0","0","0","2005-2006","boston-college"
"Johanna Ellison","G","Fr","8","0","0","0","0.0000","0","0","0","0","2005-2006","boston-college"
"Alison Quandt","G","Sr","28","0","0","0","0.0000","0","0","0","0","2005-2006","boston-college"
"Heidi Govednik","F/D","Sr","24","14","9","23","0.9583","0","4","1","0","2005-2006","bethel"
"Lisa Kinney","F","Sr","23","13","8","21","0.9130","2","1","1","0","2005-2006","bethel"
"Bethany Murphy","F","Fr","24","9","12","21","0.8750","1","1","0","0","2005-2006","bethel"
"Sandra Felten","F","Fr","24","9","9","18","0.7500","4","2","0","0","2005-2006","bethel"
"Amy Beitzel","F","So","24","7","7","14","0.5833","2","2","0","0","2005-2006","bethel"
"Elicia Adams","F","Sr","24","7","4","11","0.4583","0","3","1","0","2005-2006","bethel"
"Caitlyn Belcher","F","So","24","1","7","8","0.3333","0","0","0","0","2005-2006","bethel"
"Anna Baumgarten","F","Fr","24","3","3","6","0.2500","1","0","0","0","2005-2006","bethel"
