"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Amber Fryklund","C","Jr","33","16","21","37","1.1212","3","5","0","0","2001-2002","bemidji-state"
"Guylaine Haché","F","Jr","33","14","18","32","0.9697","2","3","0","1","2001-2002","bemidji-state"
"Kerri McEwen","F","Jr","33","12","15","27","0.8182","1","4","0","0","2001-2002","bemidji-state"
"Alicia Kinsman","C","Jr","33","10","16","26","0.7879","2","4","0","0","2001-2002","bemidji-state"
"Caesare Stimson","F","So","33","12","12","24","0.7273","1","5","0","0","2001-2002","bemidji-state"
"Lisa Peters","D","Jr","30","11","12","23","0.7667","2","5","0","0","2001-2002","bemidji-state"
"Katie Ward","F","Fr","32","9","8","17","0.5313","0","4","0","0","2001-2002","bemidji-state"
"Lill Raynard","F","Jr","33","2","15","17","0.5152","0","0","0","0","2001-2002","bemidji-state"
"Betsy Hegland","F","Jr","32","1","7","8","0.2500","0","0","0","0","2001-2002","bemidji-state"
"Kristie Hofer","C","Jr","33","4","1","5","0.1515","0","0","0","0","2001-2002","bemidji-state"
"Nicky Kluck","C","Fr","32","1","4","5","0.1563","0","0","0","0","2001-2002","bemidji-state"
"Jenny Schnickel","D","Fr","33","1","3","4","0.1212","0","0","0","0","2001-2002","bemidji-state"
"Ashley Medori","D","Fr","29","1","2","3","0.1034","0","0","0","0","2001-2002","bemidji-state"
"Jenny Hocum","F","Fr","28","2","0","2","0.0714","1","0","0","0","2001-2002","bemidji-state"
"Andrea Carlson","F","Fr","33","0","2","2","0.0606","0","0","0","0","2001-2002","bemidji-state"
"Kaisa Brehmer","D","Jr","33","1","0","1","0.0303","0","0","0","0","2001-2002","bemidji-state"
"Bre Dedrickson","G","Jr","21","0","1","1","0.0476","0","0","0","0","2001-2002","bemidji-state"
"Amy Shepler","F","Jr","31","0","1","1","0.0323","0","0","0","0","2001-2002","bemidji-state"
"Katie Anderson","G","Jr","2","0","0","0","0.0000","0","0","0","0","2001-2002","bemidji-state"
"Amanda Ferwerda","D","Fr","23","0","0","0","0.0000","0","0","0","0","2001-2002","bemidji-state"
"Megan Hemenway","D","Fr","22","0","0","0","0.0000","0","0","0","0","2001-2002","bemidji-state"
"Anik Coté","G","Jr","15","0","0","0","0.0000","0","0","0","0","2001-2002","bemidji-state"
"Lauren Chezick","F","Fr","23","7","15","22","0.9565","1","4","0","0","2001-2002","augsburg"
"Melynda Kleewein","F","Fr","24","6","12","18","0.7500","1","1","0","0","2001-2002","augsburg"
"Laura McGowan","F","Sr","25","7","8","15","0.6000","2","2","0","0","2001-2002","augsburg"
"Annie Mattison","D","Sr","25","6","8","14","0.5600","0","2","0","0","2001-2002","augsburg"
"Kristi Brusletto","D","Sr","25","6","5","11","0.4400","1","2","0","0","2001-2002","augsburg"
"Jenny Martin","F","Fr","25","6","4","10","0.4000","1","1","0","0","2001-2002","augsburg"
"Dottie Gilkerson","F","So","25","6","3","9","0.3600","1","2","0","0","2001-2002","augsburg"
"Carrie Velenchenko","F","Fr","25","6","1","7","0.2800","2","0","0","0","2001-2002","augsburg"
"April Leger","F","Sr","25","1","6","7","0.2800","0","0","0","0","2001-2002","augsburg"
"Hannah Dietrich","F","Fr","21","3","3","6","0.2857","0","0","0","0","2001-2002","augsburg"
"Corrie Kyzyska","F","Fr","24","2","3","5","0.2083","0","0","0","0","2001-2002","augsburg"
"Laura Hoffman","D","So","23","2","2","4","0.1739","0","0","0","0","2001-2002","augsburg"
"Katie Cheese","D","Sr","23","1","3","4","0.1739","0","0","0","0","2001-2002","augsburg"
"Erika Horner","D","Fr","25","1","2","3","0.1200","0","0","0","0","2001-2002","augsburg"
"Rachel Leger","D","Sr","25","1","1","2","0.0800","0","1","0","0","2001-2002","augsburg"
"Laura Prasek","D","Fr","11","0","2","2","0.1818","0","0","0","0","2001-2002","augsburg"
"Jen Mintz","F","Sr","6","1","0","1","0.1667","0","0","0","0","2001-2002","augsburg"
"Christina Hughes","F","So","23","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Stephanie Evenson","D","Fr","13","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Ashley Owens","F","Fr","23","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Kristin Johnson","G","Fr","3","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Katie Fedoryk","G","So","24","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Laura Hind","G","Fr","2","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Lisa Knutson","D","Jr","8","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Alison Connor","D","So","1","0","0","0","0.0000","0","0","0","0","2001-2002","augsburg"
"Alison White","F","So","19","8","4","12","0.6316","0","3","0","0","2001-2002","amherst"
"Danielle Williams","F","Jr","22","7","5","12","0.5455","3","0","0","0","2001-2002","amherst"
"Tory Serues","F","So","21","5","6","11","0.5238","1","1","0","0","2001-2002","amherst"
"Hilary Zwerdling","D","Sr","22","2","7","9","0.4091","0","1","0","0","2001-2002","amherst"
"Annie Grabowski","F","Fr","22","4","4","8","0.3636","0","1","0","0","2001-2002","amherst"
"Ellie Roe","F","Fr","22","4","3","7","0.3182","1","1","0","0","2001-2002","amherst"
"Sarah Mason","D","Fr","20","2","5","7","0.3500","0","0","0","0","2001-2002","amherst"
"Elissa Landes","F/D","So","21","2","5","7","0.3333","0","0","0","0","2001-2002","amherst"
"Katie Potter","F","So","20","0","6","6","0.3000","0","0","0","0","2001-2002","amherst"
"Alicia Pichard","D","Fr","21","1","4","5","0.2381","1","1","0","0","2001-2002","amherst"
"Lauren Caldwell","D","Fr","22","0","5","5","0.2273","0","0","0","0","2001-2002","amherst"
"Bess Kargman","F","So","22","1","2","3","0.1364","0","0","0","0","2001-2002","amherst"
"Amanda Muller","D","So","22","1","1","2","0.0909","0","0","0","0","2001-2002","amherst"
"Pam Burkardt","D","So","10","0","0","0","0.0000","0","0","0","0","2001-2002","amherst"
"Heidi Alexander","G","Jr","22","0","0","0","0.0000","0","0","0","0","2001-2002","amherst"
"K.C. Cosentino","G","Fr","1","0","0","0","0.0000","0","0","0","0","2001-2002","amherst"
"Shelly Chessie","F","Jr","28","22","28","50","1.7857","3","1","3","0","2001-2002","bowdoin"
"Kirsti Anderson","D","Fr","29","12","19","31","1.0690","1","2","0","0","2001-2002","bowdoin"
"Gillian McDonald","F","So","28","16","14","30","1.0714","3","2","0","1","2001-2002","bowdoin"
"Marissa O'Neil","F","Fr","27","13","15","28","1.0370","4","4","0","0","2001-2002","bowdoin"
"Ba Lanoue","F","Jr","18","8","16","24","1.3333","1","2","0","1","2001-2002","bowdoin"
"Beth Muir","F","Jr","28","6","12","18","0.6429","1","3","0","0","2001-2002","bowdoin"
"Jen Pelkey","F","So","28","9","7","16","0.5714","2","1","0","0","2001-2002","bowdoin"
"Jess Burke","F","So","28","8","7","15","0.5357","2","0","0","0","2001-2002","bowdoin"
"Britney Carr","","","21","3","11","14","0.6667","2","1","0","0","2001-2002","bowdoin"
"Leah McClure","D","Jr","21","4","9","13","0.6190","0","0","0","0","2001-2002","bowdoin"
"Carrie Simonds","D","Sr","27","3","9","12","0.4444","1","0","0","0","2001-2002","bowdoin"
"Cathie Quinlan","D","Fr","29","5","6","11","0.3793","1","2","0","0","2001-2002","bowdoin"
"Kirsten Larson","D","So","29","3","7","10","0.3448","1","1","0","0","2001-2002","bowdoin"
"Katherine Duglin","D","Fr","29","7","2","9","0.3103","1","0","0","0","2001-2002","bowdoin"
"Sadie Wieschhoff","D","So","29","2","5","7","0.2414","0","0","0","0","2001-2002","bowdoin"
