Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Lauren Roethlisberger	F	Sr	28	10	11	21	0.7500	13	26	4	2	0	0
Reaghan Chadwick	F	So	23	11	7	18	0.7826	14	28	1	4	0	1
Emily Chandler	F	Sr	28	6	12	18	0.6429	10	20	2	2	0	0
Kylie Gazzolo	F	Jr	28	6	9	15	0.5357	6	12	0	0	0	0
Jillian Kosteck	F	Jr	27	8	4	12	0.4444	13	26	4	1	0	0
Myranda Hayes	D	Sr	28	3	7	10	0.3571	15	30	0	1	0	0
Selena Stromer	F	So	26	2	7	9	0.3462	0	0	0	0	0	0
Natasha Smith	D	So	28	0	9	9	0.3214	9	18	0	0	0	0
Jessica Sherman	D	So	26	3	5	8	0.3077	8	27	0	2	0	0
Jessica Schlaff	F	Fr	26	4	3	7	0.2692	6	12	1	1	0	0
Allie Patrick	D	Jr	28	2	5	7	0.2500	7	14	0	1	0	0
Emily Bondrager	F	So	27	3	3	6	0.2222	8	16	1	0	0	0
Kelli Sorge	D	Fr	25	2	4	6	0.2400	4	8	0	0	0	0
KJ Wallace	F	Fr	24	1	5	6	0.2500	2	4	0	0	0	0
Abbie Canton	F	Fr	12	2	2	4	0.3333	1	2	1	0	0	0
Kenna Farrey	F	So	27	1	3	4	0.1481	1	2	0	0	0	0
Rachael Goodrow	F	So	11	2	0	2	0.1818	0	0	0	0	0	0
Rebecka Olsson	F	Fr	23	1	1	2	0.0870	3	6	1	0	0	0
Lexi Pyykkonen	F	So	19	1	1	2	0.1053	4	8	0	1	0	0
Lauren Michael	F	Fr	8	0	2	2	0.2500	2	4	0	0	0	0
Malin Höglund	D	So	28	0	1	1	0.0357	2	4	0	0	0	0
Brianna Kelly	G	So	9	0	0	0	0.0000	0	0	0	0	0	0
Leigh Grall	G	So	20	0	0	0	0.0000	0	0	0	0	0	0
Brooke Morgan	D	So	4	0	0	0	0.0000	0	0	0	0	0	0
