Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Brooke Whitney	F	Sr	35	32	24	56	1.6000	9	5	3	1
Brooke White	F	Jr	35	18	34	52	1.4857	3	4	1	1
Kim Greene	D	Jr	34	13	27	40	1.1765	5	2	0	0
Michelle Lorion	F	Jr	35	11	14	25	0.7143	4	2	0	0
Lindsay Ball	D	Fr	33	11	8	19	0.5758	2	1	0	0
Erica Archambeau	D	Sr	35	2	12	14	0.4000	0	1	0	0
Bekka Lass	F	Fr	33	4	6	10	0.3030	0	1	0	0
Lori DiGiacomo	F	Fr	34	2	8	10	0.2941	0	0	0	0
Pamela Pachal	D	Jr	34	3	6	9	0.2647	1	0	0	0
Nancy Collins	F	Sr	32	2	6	8	0.2500	0	0	0	0
Nicole Lewis	F	Jr	32	2	5	7	0.2188	0	1	0	0
Julianne Socha	F	Sr	35	4	1	5	0.1429	2	3	0	0
Trazana Brown	F	Jr	33	2	2	4	0.1212	0	0	0	0
Jess Judge	F	Fr	35	1	2	3	0.0857	1	0	0	0
Danielle Keefe	D	Jr	35	0	2	2	0.0571	0	0	0	0
Jennifer Bergeron	D	Fr	35	0	1	1	0.0286	0	0	0	0
Jennifer Buckley	G	Sr	5	0	0	0	0.0000	0	0	0	0
Jill Link	D	So	13	0	0	0	0.0000	0	0	0	0
Liane Dixon	F	Fr	27	0	0	0	0.0000	0	0	0	0
Marisa Hourihan	G	Fr	7	0	0	0	0.0000	0	0	0	0
Chanda Gunn	G	Jr	31	0	0	0	0.0000	0	0	0	0
