Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Elizabeth Gibson	F	So	22	27	24	51	2.3182	3	7	3	0
Lindsay McCafferty	F	Fr	22	18	22	40	1.8182	2	1	2	0
Lynn Taylor	F	So	23	18	22	40	1.7391	3	4	1	0
Jenn Clarke	F	Fr	21	18	12	30	1.4286	2	2	2	0
Chantalle Rye	D	Fr	22	11	14	25	1.1364	2	2	1	0
Erin O'Brien	D	So	21	6	19	25	1.1905	0	3	0	0
April Barbour	F	So	23	8	9	17	0.7391	1	1	0	0
Katie D'Arcy	D	So	22	3	14	17	0.7727	1	0	0	0
Christina Kerr	F	So	23	7	9	16	0.6957	1	1	2	0
Lisa Bettencourt	F/D	So	22	5	8	13	0.5909	0	1	0	0
Kristine Dodd	F	Fr	20	5	7	12	0.6000	1	1	0	0
Randi-Lynn Krug	D	So	23	5	7	12	0.5217	1	0	0	0
Carly Smith	F	Fr	20	6	5	11	0.5500	0	2	0	0
Christina Barbour	F	So	23	3	7	10	0.4348	0	0	0	0
Brooke McDowell	F	Fr	23	2	6	8	0.3478	0	0	1	0
Melissa Miceli	F/D	So	20	2	5	7	0.3500	1	0	0	0
Sue Whitcomb	G	Sr	10	0	1	1	0.1000	0	0	0	0
Carolyne Roy	G	So	17	0	0	0	0.0000	0	0	0	0
Brigitte Seguin	D	So	1	0	0	0	0.0000	0	0	0	0
