Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Brittany Dougherty	F	Jr	34	16	17	33	0.9706	22	44	2	3	3	0
Danielle Ward	F	Sr	34	14	17	31	0.9118	28	56	7	3	0	1
Myriam Croussette	F	Sr	33	11	13	24	0.7273	9	18	0	4	2	0
Dawn Sullivan	F	Sr	34	6	12	18	0.5294	4	8	2	0	1	0
Tori Pasquariello	F	Fr	28	11	5	16	0.5714	20	40	3	0	0	0
Jennifer More	F	Fr	34	7	9	16	0.4706	5	10	1	2	0	1
Missy Denk	F	So	32	9	5	14	0.4375	10	31	1	2	0	0
Brianne Kilgour	F	Jr	33	4	10	14	0.4242	8	16	0	1	2	0
Melissa Gagnon	D	Sr	34	2	10	12	0.3529	8	16	1	1	0	0
Dominique Goutsis	F	Sr	34	3	6	9	0.2647	9	18	0	0	0	0
Brittany Huneke	D	Fr	34	3	5	8	0.2353	6	12	0	3	0	0
Chloe Tinkler	D	Jr	34	1	7	8	0.2353	16	32	0	0	0	0
Kayla Kaluzny	F/D	So	22	4	3	7	0.3182	3	6	0	0	0	0
Kelly McDonald	D	So	34	3	3	6	0.1765	10	20	0	2	0	0
Jessica Hall	D	Fr	34	0	4	4	0.1176	7	14	0	0	0	0
Ashley Norum	D	Sr	33	0	4	4	0.1212	27	54	0	0	0	0
Katy Massey	F	Fr	34	1	1	2	0.0588	0	0	0	0	0	0
Megan Menotti	D	Fr	31	0	1	1	0.0323	8	16	0	0	0	0
Candice Currier	G	Sr	1	0	0	0	0.0000	0	0	0	0	0	0
Brittany Ott	G	Jr	30	0	0	0	0.0000	1	2	0	0	0	0
Kylie Smith	G	Jr	8	0	0	0	0.0000	0	0	0	0	0	0
