Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Cheeky Herr	F	Jr	27	20	18	38	1.4074	12	24	5	2	0	1
Lucy Robinson	F	Sr	27	17	19	36	1.3333	3	6	1	2	0	0
Emma Tani	F	Jr	25	10	18	28	1.1200	8	16	3	1	0	1
Lauren Fitzgerald	F	Sr	26	12	11	23	0.8846	25	53	2	1	0	2
Shannon Farrell	F	Jr	27	9	14	23	0.8519	9	18	2	1	1	1
Kelcie Finn	F	Fr	27	9	10	19	0.7037	22	44	3	0	0	0
Hannah Oganeku	F	Fr	27	3	9	12	0.4444	2	4	0	0	0	0
Caroline Howell	D	Fr	27	3	4	7	0.2593	4	8	1	0	0	0
Tasha Adams	D	Fr	27	2	5	7	0.2593	2	4	0	1	0	0
Brooke Heron	F	Jr	24	1	5	6	0.2500	9	18	0	0	0	0
Jessica Stowell	D	So	27	0	6	6	0.2222	3	6	0	0	0	0
Lily Gacicia	D	Sr	24	1	4	5	0.2083	16	32	0	0	0	0
Allie Bravi	D	So	27	0	5	5	0.1852	0	0	0	0	0	0
Kate Fraley	F	So	27	1	3	4	0.1481	2	4	0	0	0	0
Delaney Harrop	D	Fr	24	0	4	4	0.1667	11	22	0	0	0	0
Shelby Labe	D	Jr	27	1	2	3	0.1111	16	32	1	0	0	0
Emily Riccio	D	Sr	13	1	0	1	0.0769	2	4	0	0	0	0
Melissa Maffeo	F	Fr	4	0	1	1	0.2500	0	0	0	0	0	0
Claudia Escue	G	So	7	0	0	0	0.0000	0	0	0	0	0	0
Sydney Belinskas	G	Fr	19	0	0	0	0.0000	0	0	0	0	0	0
Kayla O'Connor	F	Fr	18	0	0	0	0.0000	0	0	0	0	0	0
Lauren Skinnion	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
