"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Kelsey Kusch","F","So","27","20","19","39","1.4444","4","8","3","8","0","1","2012-2013","adrian"
"Danielle Smith","LW","Jr","27","17","12","29","1.0741","25","50","3","5","0","0","2012-2013","adrian"
"Devyn Fitzhenry","F","Fr","27","10","16","26","0.9630","8","19","1","2","0","0","2012-2013","adrian"
"Alix Vallee","D","Jr","27","6","20","26","0.9630","12","24","2","4","0","0","2012-2013","adrian"
"Sarah Connelly","F","Jr","27","13","8","21","0.7778","6","12","2","3","0","1","2012-2013","adrian"
"Hannah McGowan","F","Sr","25","10","9","19","0.7600","9","29","4","2","1","1","2012-2013","adrian"
"Courtney Millar","D","So","26","9","9","18","0.6923","23","46","2","0","0","0","2012-2013","adrian"
"Lauren Turner","F","Jr","27","2","16","18","0.6667","13","37","0","1","1","0","2012-2013","adrian"
"Kristin Maton","D","Sr","27","3","11","14","0.5185","4","8","0","2","0","0","2012-2013","adrian"
"Emily Marks","D","So","27","2","7","9","0.3333","29","66","2","1","0","0","2012-2013","adrian"
"Lauren Zachwieja","F","So","15","3","2","5","0.3333","4","8","0","0","0","0","2012-2013","adrian"
"Cara Harm","F","So","25","2","3","5","0.2000","0","0","0","0","0","0","2012-2013","adrian"
"Abby Kibler","F","Fr","27","3","1","4","0.1481","6","12","0","0","2","1","2012-2013","adrian"
"Kaitlyn Ryan","F","Fr","26","1","3","4","0.1538","0","0","0","0","0","0","2012-2013","adrian"
"Nichole Laflamme","F","Fr","11","2","1","3","0.2727","1","2","1","0","0","0","2012-2013","adrian"
"Audrey Noles","D","Fr","21","1","2","3","0.1429","8","16","0","0","0","0","2012-2013","adrian"
"Michelle Jones","F","Fr","10","0","2","2","0.2000","1","2","0","0","0","0","2012-2013","adrian"
"Becca Napoli","F","So","21","0","2","2","0.0952","0","0","0","0","0","0","2012-2013","adrian"
"Amanda Antos","D","So","27","0","1","1","0.0370","4","8","0","0","0","0","2012-2013","adrian"
"Ashley Chinn","F","Sr","1","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","adrian"
"Allie Carter","G","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","adrian"
"Tyana Rasmusan","D","Fr","7","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","adrian"
"Brittany Zeches","G","Sr","26","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","adrian"
"Geneva Lloyd","D","Sr","24","13","14","27","1.1250","5","10","2","4","1","0","2012-2013","amherst"
"Tori Salmon","F","So","24","7","18","25","1.0417","2","4","2","2","0","0","2012-2013","amherst"
"Megan Doyen","F","Sr","24","12","5","17","0.7083","0","0","4","8","0","0","2012-2013","amherst"
"Emily Flom","F","So","24","7","4","11","0.4583","6","12","0","2","0","0","2012-2013","amherst"
"Ashley Salerno","D","Jr","24","3","8","11","0.4583","6","15","0","2","0","0","2012-2013","amherst"
"Erin Martin","F","Fr","24","7","2","9","0.3750","8","16","1","0","0","0","2012-2013","amherst"
"Courtney Baranek","F","Jr","24","6","3","9","0.3750","1","2","2","0","2","2","2012-2013","amherst"
"Eileen Harris","F","Fr","24","2","6","8","0.3333","9","18","0","0","0","1","2012-2013","amherst"
"Madeline Tank","F","So","24","2","5","7","0.2917","4","8","0","0","0","0","2012-2013","amherst"
"Kaitlyn McInnis","F","Sr","24","2","5","7","0.2917","9","18","1","0","0","0","2012-2013","amherst"
"Barrett McBride","F","Jr","23","1","6","7","0.3043","10","20","0","0","0","0","2012-2013","amherst"
"Hayley Opperman","D","Jr","24","2","4","6","0.2500","6","12","0","0","0","0","2012-2013","amherst"
"Anne Gillard","F","So","24","3","1","4","0.1667","2","4","0","0","0","0","2012-2013","amherst"
"Avery Stone","F/D","Jr","24","0","3","3","0.1250","5","10","0","0","0","0","2012-2013","amherst"
"Melissa Martin","D","So","16","0","1","1","0.0625","2","4","0","0","0","0","2012-2013","amherst"
"Kasia Henley","G","Fr","6","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","amherst"
"Caroline Bomstein","D","Fr","24","0","0","0","0.0000","10","20","0","0","0","0","2012-2013","amherst"
"Kerri Stuart","G","Jr","21","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","amherst"
"Rachel Hennessy","F","So","24","11","8","19","0.7917","9","18","1","2","0","0","2012-2013","augsburg"
"Kayla Fuechtmann","F","Fr","24","7","6","13","0.5417","6","12","0","2","0","0","2012-2013","augsburg"
"Claire Cripps","F","Fr","24","5","7","12","0.5000","6","12","0","1","1","0","2012-2013","augsburg"
"Erica Berthold","F","Sr","22","6","3","9","0.4091","4","8","3","0","0","0","2012-2013","augsburg"
"Jessica Larkin","F","Sr","24","1","7","8","0.3333","1","2","0","0","0","0","2012-2013","augsburg"
"Brenna Nakonechny","D","Fr","24","1","6","7","0.2917","2","4","0","1","0","0","2012-2013","augsburg"
"Casey Miller","F/D","So","24","2","3","5","0.2083","3","6","0","1","0","0","2012-2013","augsburg"
"Diana Bocklund","D","Sr","24","1","4","5","0.2083","7","25","0","1","0","0","2012-2013","augsburg"
"Jeanna Dudley","D","Sr","24","2","2","4","0.1667","6","12","1","0","0","0","2012-2013","augsburg"
"Kendall Christian","F","So","24","1","3","4","0.1667","17","34","0","0","0","0","2012-2013","augsburg"
"Megan Bergland","F","Fr","24","0","4","4","0.1667","5","10","0","0","0","0","2012-2013","augsburg"
"Nicole Gorr","F","Jr","22","2","0","2","0.0909","1","2","1","0","0","0","2012-2013","augsburg"
"Sandra Hinz","D","Sr","24","2","0","2","0.0833","5","10","0","0","0","0","2012-2013","augsburg"
"Sara Rajewsky","F","So","9","1","0","1","0.1111","6","12","0","0","0","0","2012-2013","augsburg"
"Abigail Dickinson","D","Fr","19","0","1","1","0.0526","14","28","0","0","0","0","2012-2013","augsburg"
"Kristine Fonti","G","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","augsburg"
"Carissa Miller","F","Sr","1","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","augsburg"
"Ellie Schaaf","F","So","16","0","0","0","0.0000","3","6","0","0","0","0","2012-2013","augsburg"
"Devon Ellena","D","Jr","20","0","0","0","0.0000","2","4","0","0","0","0","2012-2013","augsburg"
"Brianna Schulz","G","So","24","0","0","0","0.0000","1","2","0","0","0","0","2012-2013","augsburg"
"Sarah Buckner","D","Fr","24","0","0","0","0.0000","0","0","0","0","0","0","2012-2013","augsburg"
