Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Mackenzie Lee	F	Jr	25	14	9	23	0.9200	3	6	1	6	2	0
Megan Howe	F	Fr	25	7	12	19	0.7600	12	24	3	3	2	0
Jillian Bergeron	F	Jr	23	6	9	15	0.6522	8	24	0	2	0	0
Kelly Collins	F	Jr	24	13	1	14	0.5833	12	24	3	7	0	0
Carly Henderson	F	Fr	23	7	5	12	0.5217	12	24	0	3	0	1
Olivia Boersen	F	Fr	24	3	9	12	0.5000	13	29	1	0	0	0
Brenna Weber	D	Sr	24	2	6	8	0.3333	21	42	0	2	0	0
Kathryn Sbrocchi	D	Jr	24	1	6	7	0.2917	10	20	0	1	0	0
Lauren Gilpin	F	Jr	24	3	3	6	0.2500	8	16	1	0	0	0
Melissa Seamont	F	Fr	24	2	4	6	0.2500	2	4	0	0	0	0
Jocelyn St. Clair	D	Fr	17	1	5	6	0.3529	0	0	0	0	0	0
Kristin Metzger	F	So	24	1	5	6	0.2500	1	2	0	0	0	0
Sarah Hannon	F/D	Sr	24	3	2	5	0.2083	7	22	1	0	1	1
Emily Grippin	F	Sr	20	3	1	4	0.2000	5	10	1	0	1	0
Meagan Big Snake	D	Sr	19	1	2	3	0.1579	6	12	0	0	0	0
Chelsea Hunt	D	Fr	22	1	2	3	0.1364	8	16	0	0	0	0
Alex Szypryt	F	So	17	1	1	2	0.1176	1	2	1	0	1	0
Mady Paul	F	Fr	11	1	1	2	0.1818	1	2	1	0	0	0
Leslie Jarvis	D	Fr	17	0	2	2	0.1176	4	8	0	0	0	0
Leah McNaughton	F	Jr	12	0	1	1	0.0833	1	2	0	0	0	0
Breanne Reith	D	So	17	0	1	1	0.0588	9	18	0	0	0	0
Catherine Cote	G	Fr	4	0	0	0	0.0000	1	2	0	0	0	0
Natalie Rossi	D	Sr	1	0	0	0	0.0000	0	0	0	0	0	0
Emi Williams	G	Sr	21	0	0	0	0.0000	2	4	0	0	0	0
