Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Amanda Nonis	F	So	25	20	26	46	1.8400	4	4	0	0
Jessica Temesy	F	Sr	26	17	22	39	1.5000	4	7	0	0
Jessica Zimmerman	F	So	26	16	22	38	1.4615	3	2	1	0
Jami Grasby	F	Sr	27	15	17	32	1.1852	4	6	0	0
Alex Blackwell	F	Fr	26	13	16	29	1.1154	1	2	0	0
Ashley Trimble	D	Sr	26	6	21	27	1.0385	0	3	0	0
Danielle Nagymarosi	F	Fr	13	15	9	24	1.8462	1	3	0	1
Jesse Garner	F	Sr	28	12	11	23	0.8214	1	2	0	0
Natalie Zitek	F	Fr	26	6	16	22	0.8462	0	2	0	0
Michelle Witz	F	Fr	26	14	7	21	0.8077	2	3	0	0
Darcie Jarvis	F	Jr	27	4	16	20	0.7407	0	3	0	0
Cory Alcorn	F	So	26	6	9	15	0.5769	0	0	0	1
Erin McAllister	F	Sr	25	4	10	14	0.5600	1	1	0	0
Dani Poupart	D	So	23	3	11	14	0.6087	1	0	0	0
Jamie Longo	F	So	15	6	3	9	0.6000	1	2	0	0
Danielle Mazurek	F	So	26	2	5	7	0.2692	0	0	0	0
Carina von Bredow	F	So	26	0	5	5	0.1923	0	0	0	0
Jennifer Wilson	F	Fr	3	2	2	4	1.3333	0	1	0	0
Anna Schimelpfenig	F	Jr	10	1	3	4	0.4000	0	0	0	0
Lisa-Marie Simard	D	Sr	26	1	3	4	0.1538	0	0	0	0
Cari Swanger	F	Fr	5	0	1	1	0.2000	0	0	0	0
Courtney Flynn	D	Fr	16	0	1	1	0.0625	0	0	0	0
Karine Turmel	G	Fr	13	0	0	0	0.0000	0	0	0	0
Emily Gesino	G	Jr	1	0	0	0	0.0000	0	0	0	0
Liane Ortis	G	So	16	0	0	0	0.0000	0	0	0	0
Lyndsay Letourneau	F	So	2	0	0	0	0.0000	0	0	0	0
