Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Amanda Hunter	F/D	Fr	13	5	3	8	0.6154	0	1	0	0
Becky Romatowski	F/D	So	12	3	2	5	0.4167	0	2	0	0
Michele Verticchio	F	Fr	13	2	3	5	0.3846	1	0	0	0
Mary Harding	F/D	Fr	13	3	1	4	0.3077	0	1	0	0
Lauren Nowierski	D	So	12	1	2	3	0.2500	0	0	0	0
Stephanie Yen	F	Fr	12	0	3	3	0.2500	0	0	0	0
Leah Windhorst	D	Jr	13	2	0	2	0.1538	0	1	0	0
Betty Zheng	F	Jr	13	0	2	2	0.1538	0	0	0	0
Cara Toretta	D	Jr	13	0	1	1	0.0769	0	0	0	0
Meena Shah	F	Jr	13	0	1	1	0.0769	0	0	0	0
Amy Brzezinski	F	Jr	8	0	0	0	0.0000	0	0	0	0
June Rhee	F	So	8	0	0	0	0.0000	0	0	0	0
Barbara Peng	F/D	Fr	4	0	0	0	0.0000	0	0	0	0
Olivia Leitermann	F	So	3	0	0	0	0.0000	0	0	0	0
Jacque Tio	F	So	11	0	0	0	0.0000	0	0	0	0
Elizabeth Ward	F	So	9	0	0	0	0.0000	0	0	0	0
Jackie Lai	F	Jr	13	0	0	0	0.0000	0	0	0	0
Linda Tao	F	So	1	0	0	0	0.0000	0	0	0	0
Cheryl Texin	F	So	2	0	0	0	0.0000	0	0	0	0
Alana Lafferty	G	Jr	6	0	0	0	0.0000	0	0	0	0
Regina Sullivan	G	Jr	13	0	0	0	0.0000	0	0	0	0
Michelle Seitz	F	Sr	13	0	0	0	0.0000	0	0	0	0
