Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Rosemarie Giarrusso	F	Fr	25	15	14	29	1.1600	15	33	1	3	1	0
Sarah Ellins	F	Jr	27	11	16	27	1.0000	20	40	1	4	0	0
Maria Dougherty	F/D	Sr	27	11	13	24	0.8889	7	14	0	2	0	1
Kristen Byrne	F	Jr	25	12	11	23	0.9200	6	12	1	4	0	0
Aly Zappen	F	So	25	9	13	22	0.8800	13	26	1	2	0	0
Molly Corl	F	So	27	7	15	22	0.8148	15	30	2	3	0	0
Kathryn Picarello	F	Fr	27	8	9	17	0.6296	8	16	3	1	0	0
Alexa Hingston	D	Jr	26	5	6	11	0.4231	11	30	1	2	0	0
Michelle Lacombe	F	So	26	5	6	11	0.4231	10	20	0	0	1	0
Angela Zevnik	D	So	27	2	8	10	0.3704	7	14	1	1	0	0
Bridget Sylvester	F	So	27	2	4	6	0.2222	6	12	1	0	1	0
Kaitlin O'Brien	F	Fr	27	5	0	5	0.1852	0	0	2	0	0	0
Jamie Comrie	D	So	26	2	3	5	0.1923	6	12	1	0	0	0
Ciara Petry	F	Fr	19	0	5	5	0.2632	3	6	0	0	0	0
Sami Tatu	D	So	27	1	3	4	0.1481	9	18	0	1	0	0
Daniella Lyons	F/D	Sr	23	1	2	3	0.1304	9	18	0	1	0	0
Corinne Myers	F	Fr	8	1	1	2	0.2500	0	0	0	0	0	0
Marissa Serafino	F	So	22	0	2	2	0.0909	0	0	0	0	0	0
Elizabeth Walston	F	Fr	12	0	1	1	0.0833	2	4	0	0	0	0
Tracy Hines	D	Fr	25	0	0	0	0.0000	5	10	0	0	0	0
Carley Berry	G	Jr	5	0	0	0	0.0000	0	0	0	0	0	0
Amy Zappen	G	So	19	0	0	0	0.0000	0	0	0	0	0	0
Meghan Grant	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
