"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Jenna Westerham","F","So","27","18","13","31","1.1481","14","28","6","7","0","2","2010-2011","concordia-mn"
"Abby Taffe","F","Fr","27","17","14","31","1.1481","1","2","1","3","3","1","2010-2011","concordia-mn"
"Ali Nelson","F/D","So","21","8","12","20","0.9524","12","24","1","6","0","0","2010-2011","concordia-mn"
"Brooke Rundell","C","Jr","27","3","11","14","0.5185","12","24","1","0","1","0","2010-2011","concordia-mn"
"Kelsey Athmann","F","Fr","27","6","3","9","0.3333","4","8","0","1","0","0","2010-2011","concordia-mn"
"Kayla Hendrickson","F","Jr","10","4","2","6","0.6000","2","4","0","0","0","0","2010-2011","concordia-mn"
"Allie Bondy","D","Jr","24","1","5","6","0.2500","13","26","0","0","0","0","2010-2011","concordia-mn"
"Abby Vig","D","So","25","2","3","5","0.2000","16","32","1","0","0","0","2010-2011","concordia-mn"
"Tara Korf","F","Fr","21","3","1","4","0.1905","4","8","0","0","0","0","2010-2011","concordia-mn"
"Kit Hollway","F","Jr","25","2","2","4","0.1600","11","22","2","0","0","0","2010-2011","concordia-mn"
"Kristina Westmark","D","Sr","25","1","2","3","0.1200","12","24","0","0","1","0","2010-2011","concordia-mn"
"Rachel Stevenson","F","Jr","22","1","2","3","0.1364","5","10","0","0","0","0","2010-2011","concordia-mn"
"Macy Leland","D","So","26","0","3","3","0.1154","25","50","0","0","0","0","2010-2011","concordia-mn"
"Melissa Neeb","D","So","22","0","2","2","0.0909","0","0","0","0","0","0","2010-2011","concordia-mn"
"Lacey Shieu","D","Fr","11","0","1","1","0.0909","1","2","0","0","0","0","2010-2011","concordia-mn"
"Kristyn Voegele","F","Sr","26","0","1","1","0.0385","0","0","0","0","0","0","2010-2011","concordia-mn"
"Tayler Vatnsdal","F","Fr","22","0","1","1","0.0455","0","0","0","0","0","0","2010-2011","concordia-mn"
"Sara Sonnenberg","D","Sr","19","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
"Tamara Twite","G","Fr","14","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
"Desiree Goret","G","So","13","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
"Amanda Livers","F","So","9","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
