Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Alysia Park	F	Jr	27	27	21	48	1.7778	4	2	3	2
Kendra Bredlau	F/D	So	25	11	23	34	1.3600	1	2	0	0
Jen Gorczynski	D	Jr	27	17	16	33	1.2222	3	6	1	0
Kasie Strong	F	So	27	14	18	32	1.1852	4	2	2	0
Erin Topley	F	So	27	13	19	32	1.1852	1	2	1	0
Kaley Ostanek	F/D	Fr	27	10	17	27	1.0000	1	1	0	0
Jennie Nicholas	F	Sr	26	5	9	14	0.5385	2	2	0	0
Meghan Erickson	F/D	Fr	21	3	8	11	0.5238	1	0	0	0
Marrick Jensen	F	So	27	2	9	11	0.4074	0	0	0	0
Nicole Gedney	F	Fr	27	5	5	10	0.3704	0	0	0	0
Nicole Wisniewski	F	Fr	27	4	5	9	0.3333	0	0	1	0
Julie Romans	D	So	27	0	9	9	0.3333	0	0	0	0
Sam Boscia	D	Fr	27	3	5	8	0.2963	1	0	0	0
Perry Foster	D	Jr	27	4	3	7	0.2593	0	0	0	0
Dana Wisniewski	F/D	Fr	27	2	4	6	0.2222	0	0	0	0
Alla Kaplan	F	Fr	24	1	3	4	0.1667	0	0	0	0
Joey Stoltzfus	F	Fr	26	2	1	3	0.1154	0	0	0	0
Chelsea Johnson	D	So	27	0	3	3	0.1111	0	0	0	0
Callie Iosue	F	So	2	1	1	2	1.0000	0	0	0	0
Elaine Vonderembse	G	So	27	0	0	0	0.0000	0	0	0	0
Beth Hampton	G	So	7	0	0	0	0.0000	0	0	0	0
Barb McElwee	G	Fr	7	0	0	0	0.0000	0	0	0	0
