Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jocelyne Lamoureux	F	So	33	28	29	57	1.7273	50	108	3	6	1	0
Monique Lamoureux	F	So	33	22	32	54	1.6364	36	72	4	7	0	0
Alyssa Wiebe	F	Jr	36	13	21	34	0.9444	11	25	1	0	1	0
Jordan Slavin	D	So	28	6	16	22	0.7857	10	31	2	4	0	0
Sara Dagenais	F	Jr	36	9	11	20	0.5556	14	50	2	1	0	0
Allison Parizek	F	So	34	7	9	16	0.4706	14	39	0	3	0	0
Mary Loken	F	So	36	8	7	15	0.4167	5	10	3	4	0	0
Kelsey Ketcher	F	Jr	36	6	4	10	0.2778	13	26	0	5	0	0
Candace Molle	D	So	36	2	8	10	0.2778	22	44	0	1	0	0
Ashley Furia	F	So	36	2	7	9	0.2500	5	10	0	0	0	0
Stephanie Roy	F	Sr	28	7	1	8	0.2857	8	16	4	1	0	0
Margot Miller	F	Jr	31	3	5	8	0.2581	4	8	0	0	0	0
Holly Perkins	F	So	13	3	5	8	0.6154	1	2	1	0	0	0
Madison Kolls	D	Fr	36	0	4	4	0.1111	3	6	0	0	0	0
Kayla Berg	D	So	36	0	4	4	0.1111	14	39	0	0	0	0
Megan Gilbert	F	So	36	0	3	3	0.0833	1	2	0	0	0	0
Stephanie Ney	G	Jr	26	0	3	3	0.1154	0	0	0	0	0	0
Ashley Holmes	D	Jr	36	0	1	1	0.0278	6	23	0	0	0	0
Jorid Dagfinrud	G	Jr	12	0	0	0	0.0000	2	4	0	0	0	0
Ariel Monarez	D	Fr	24	0	0	0	0.0000	0	0	0	0	0	0
Francie Pich̩	D	Fr	8	0	0	0	0.0000	0	0	0	0	0	0
