Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Sarah Wetherbee	F	Sr	26	13	10	23	0.8846	2	3	1	0
Kolt Bloxson	F	Sr	26	11	10	21	0.8077	2	4	0	0
Katherine Falkowski	F	So	26	9	12	21	0.8077	1	1	0	0
Samantha Murphy	F	So	26	8	13	21	0.8077	0	0	0	0
Kathleen Remsberg	F	Sr	25	6	15	21	0.8400	0	3	0	0
Casey Harvel	F	So	26	8	12	20	0.7692	1	3	1	0
Samantha Rush	D	So	26	4	10	14	0.5385	1	1	0	0
Meghan Donovan	D	So	26	1	8	9	0.3462	0	1	0	0
Amy McGhee	F	Fr	25	3	5	8	0.3200	0	1	0	0
Parnell Ormiston	D	So	26	3	2	5	0.1923	1	1	0	0
Allie DeAngelis	D	Fr	26	1	4	5	0.1923	0	0	0	0
Melissa Flanagan	F	Jr	24	3	1	4	0.1667	3	0	0	0
Shara Conroy	D	Jr	26	1	3	4	0.1538	0	1	0	0
Christine O'Hara	F	Jr	19	2	0	2	0.1053	0	0	0	0
Lauren Oplinger	F	So	6	0	1	1	0.1667	0	0	0	0
Jane Sarno	D	So	3	0	0	0	0.0000	0	0	0	0
Dianna Muth	G	Jr	2	0	0	0	0.0000	0	0	0	0
Casey McCullion	G	Jr	17	0	0	0	0.0000	0	0	0	0
Jennifer Van Dongen	G	Fr	10	0	0	0	0.0000	0	0	0	0
